location,year,price
Alabama,2014,989.3333333333334
Alabama,2015,995.0555555555555
Alabama,2016,1003.0833333333334
Alabama,2017,1027.611111111111
Alaska,2014,1705.861111111111
Alaska,2015,1706.1944444444443
Alaska,2016,1668.4166666666667
Alaska,2017,1642.0
Arizona,2014,1251.0555555555557
Arizona,2015,1298.9166666666667
Arizona,2016,1343.9166666666667
Arizona,2017,1399.6944444444443
Arkansas,2014,913.7222222222222
Arkansas,2015,921.5555555555555
Arkansas,2016,928.0
Arkansas,2017,942.3055555555555
California,2014,2079.0555555555557
California,2015,2206.6666666666665
California,2016,2308.722222222222
California,2017,2402.277777777778
Colorado,2014,1509.5833333333333
Colorado,2015,1629.111111111111
Colorado,2016,1703.6666666666667
Colorado,2017,1754.7222222222222
Connecticut,2014,1597.9166666666667
Connecticut,2015,1627.0833333333333
Connecticut,2016,1651.888888888889
Connecticut,2017,1671.5833333333333
Delaware,2014,1385.888888888889
Delaware,2015,1415.4166666666667
Delaware,2016,1461.25
Delaware,2017,1496.111111111111
District of Columbia,2014,2143.3055555555557
District of Columbia,2015,2153.6944444444443
District of Columbia,2016,2221.9166666666665
District of Columbia,2017,2223.722222222222
Florida,2014,1402.25
Florida,2015,1469.5833333333333
Florida,2016,1513.4722222222222
Florida,2017,1558.138888888889
Georgia,2014,1144.8055555555557
Georgia,2015,1208.111111111111
Georgia,2016,1263.388888888889
Georgia,2017,1309.0
Hawaii,2014,2446.722222222222
Hawaii,2015,2539.9444444444443
Hawaii,2016,2673.3055555555557
Hawaii,2017,2697.0555555555557
Idaho,2014,1020.4166666666666
Idaho,2015,1044.5833333333333
Idaho,2016,1066.1944444444443
Idaho,2017,1113.138888888889
Illinois,2014,1301.361111111111
Illinois,2015,1334.4722222222222
Illinois,2016,1353.7777777777778
Illinois,2017,1378.638888888889
Indiana,2014,986.1111111111111
Indiana,2015,989.4166666666666
Indiana,2016,1003.6666666666666
Indiana,2017,1022.3611111111111
Iowa,2014,954.6666666666666
Iowa,2015,968.4722222222222
Iowa,2016,983.4166666666666
Iowa,2017,994.7777777777778
Kansas,2014,1031.0833333333333
Kansas,2015,1050.6666666666667
Kansas,2016,1068.8333333333333
Kansas,2017,1089.6666666666667
Kentucky,2014,936.0
Kentucky,2015,957.9166666666666
Kentucky,2016,983.2777777777778
Kentucky,2017,1008.7222222222222
Louisiana,2014,1050.75
Louisiana,2015,1058.5
Louisiana,2016,1053.361111111111
Louisiana,2017,1073.861111111111
Maine,2014,1137.0277777777778
Maine,2015,1163.0555555555557
Maine,2016,1195.861111111111
Maine,2017,1226.638888888889
Maryland,2014,1798.8055555555557
Maryland,2015,1845.9444444444443
Maryland,2016,1886.9166666666667
Maryland,2017,1915.0833333333333
Massachusetts,2014,1748.7777777777778
Massachusetts,2015,1803.2777777777778
Massachusetts,2016,1864.8333333333333
Massachusetts,2017,1916.388888888889
Michigan,2014,1070.25
Michigan,2015,1091.2222222222222
Michigan,2016,1120.4166666666667
Michigan,2017,1148.75
Minnesota,2014,1273.0833333333333
Minnesota,2015,1312.0
Minnesota,2016,1355.6666666666667
Minnesota,2017,1403.6944444444443
Mississippi,2014,965.2777777777778
Mississippi,2015,979.6111111111111
Mississippi,2016,990.9444444444445
Mississippi,2017,1004.7777777777778
Missouri,2014,1036.0555555555557
