state,year,program,amount
AK,2003,CDBG,5796000.0
AK,2003,Emergency Shelter Grants Program,190000.0
AK,2003,HOME,4114921.0
AK,2003,HOPWA,731120.0
AK,2004,CDBG,5544637.0
AK,2004,Emergency Shelter Grants Program,211979.0
AK,2004,HOME,4136173.0
AK,2005,CDBG,5268448.0
AK,2005,CoC,2634199.0
AK,2005,Emergency Shelter Grants Program,202771.0
AK,2005,HOME,4075967.0
AK,2005,HOPWA,757675.0
AK,2006,CDBG,4748646.0
AK,2006,CoC,2890793.0
AK,2006,Emergency Shelter Grants Program,202631.0
AK,2006,HOME,4010236.0
AK,2006,HOPWA,716210.0
AK,2007,CDBG,4761666.0
AK,2007,CoC,2839638.0
AK,2007,Emergency Shelter Grants Program,204758.0
AK,2007,HOME,4003185.0
AK,2008,CDBG,4624087.0
AK,2008,CoC,3261235.0
AK,2008,Emergency Shelter Grants Program,205191.0
AK,2008,HOME,3970556.0
AK,2008,HOPWA,915440.0
AK,2009,CDBG,4756428.0
AK,2009,CoC,3267441.0
AK,2009,Emergency Shelter Grants Program,205880.0
AK,2009,HOME,4084571.0
AK,2009,HOPWA,757790.0
AK,2009,NSP,19600000.0
AK,2010,CDBG,5165029.0
AK,2010,CoC,3480333.0
AK,2010,Emergency Shelter Grants Program,208817.0
AK,2010,HOME,4068582.0
AK,2011,CDBG,4340720.0
AK,2011,CoC,3578266.0
AK,2011,ESG,117713.0
AK,2011,Emergency Shelter Grants Program,209268.0
AK,2011,HOME,3947427.0
AK,2011,HOPWA,915440.0
AK,2011,NSP,5000000.0
AK,2012,CDBG,3843406.0
AK,2012,CoC,3857795.0
AK,2012,ESG,375895.0
AK,2012,HOME,3628693.0
AK,2012,HOPWA,781269.0
AK,2013,CDBG,4212902.0
AK,2013,CoC,3595949.0
AK,2013,ESG,280394.0
AK,2013,HOME,3591911.0
AK,2014,CDBG,4110097.0
AK,2014,CoC,3676398.0
AK,2014,ESG,342251.0
AK,2014,HOME,3616805.0
AK,2014,HOPWA,956642.0
AK,2015,CDBG,4123390.0
AK,2015,CoC,3712473.0
AK,2015,ESG,366360.0
AK,2015,HOME,3532628.0
AK,2015,HOPWA,781269.0
AK,2016,CDBG,4199056.0
AK,2016,CoC,3697135.0
AK,2016,ESG,371142.0
AK,2016,HOME,3568935.0
AK,2016,HTF,3000000.0
AK,2017,CDBG,4241896.0
AK,2017,CoC,3731246.0
AK,2017,ESG,508394.0
AK,2017,HOME,3560861.0
AK,2017,HTF,3000000.0
AK,2018,CDBG,4684791.0
AK,2018,ESG,380374.0
AK,2018,HOME,3741206.0
AK,2018,HTF,3000000.0
AL,2003,CDBG,57532000.0
AL,2003,Emergency Shelter Grants Program,2137000.0
AL,2003,HOME,26075570.0
AL,2003,HOPWA,1623000.0
AL,2004,CDBG,58053474.0
AL,2004,Emergency Shelter Grants Program,2104158.0
AL,2004,HOME,26358782.0
AL,2004,HOPWA,2275405.0
AL,2005,CDBG,55127271.0
AL,2005,CoC,12095259.0
AL,2005,Emergency Shelter Grants Program,2123084.0
AL,2005,HOME,25153339.0
AL,2005,HOPWA,2689010.0
AL,2006,CDBG,49694670.0
AL,2006,CoC,12504490.0
AL,2006,Emergency Shelter Grants Program,2120181.0
AL,2006,HOME,23837450.0
AL,2006,HOPWA,1656000.0
AL,2007,CDBG,49822094.0
AL,2007,CoC,13370493.0
AL,2007,Emergency Shelter Grants Program,2142873.0
AL,2007,HOME,23802053.0
AL,2007,HOPWA,3420187.0
AL,2008,CDBG,48333604.0
AL,2008,CoC,13546940.0
AL,2008,Emergency Shelter Grants Program,2146931.0
AL,2008,HOME,23115674.0
AL,2008,HOPWA,2776838.0
AL,2009,CDBG,49086447.0
AL,2009,CoC,14821724.0
AL,2009,Emergency Shelter Grants Program,2151976.0
AL,2009,HOME,25809493.0
AL,2009,HOPWA,2791868.0
AL,2009,NSP,41851121.0
AL,2010,CDBG,53316977.0
AL,2010,CoC,15958188.0
AL,2010,Emergency Shelter Grants Program,2153432.0
AL,2010,HOME,25682842.0
AL,2010,HOPWA,3738531.0
AL,2010,NSP,20000000.0
AL,2011,CDBG,44562795.0
AL,2011,CoC,18399850.0
AL,2011,ESG,1215104.0
AL,2011,Emergency Shelter Grants Program,2160185.0
AL,2011,HOME,22567528.0
AL,2011,HOPWA,3811148.0
AL,2011,NSP,7576151.0
AL,2012,CDBG,39246037.0
AL,2012,CoC,17145214.0
AL,2012,ESG,3859020.0
AL,2012,HOME,13800040.0
AL,2012,HOPWA,2001172.0
AL,2013,CDBG,41442145.0
AL,2013,CoC,17007494.0
AL,2013,ESG,2863178.0
AL,2013,HOME,12885477.0
AL,2013,HOPWA,3685973.0
AL,2014,CDBG,40960106.0
AL,2014,CoC,16844653.0
AL,2014,ESG,3366707.0
AL,2014,HOME,13835978.0
AL,2014,HOPWA,3960832.0
AL,2015,CDBG,40000047.0
AL,2015,CoC,17096421.0
AL,2015,ESG,3651045.0
AL,2015,HOME,12213251.0
AL,2015,HOPWA,2065529.0
AL,2016,CDBG,40510462.0
AL,2016,CoC,17172393.0
AL,2016,ESG,3600416.0
AL,2016,HOME,12805018.0
AL,2016,HOPWA,2494679.0
AL,2016,HTF,3000000.0
AL,2017,CDBG,39753021.0
AL,2017,CoC,17802978.0
AL,2017,ESG,4302008.0
AL,2017,HOME,12775543.0
AL,2017,HOPWA,2842609.0
AL,2017,HTF,3000000.0
AL,2018,CDBG,43473951.0
AL,2018,ESG,3575850.0
AL,2018,HOME,18347449.0
AL,2018,HOPWA,3220057.0
AL,2018,HTF,3000000.0
AR,2003,CDBG,31715000.0
AR,2003,Emergency Shelter Grants Program,1156000.0
AR,2003,HOME,16385610.0
AR,2003,HOPWA,741000.0
AR,2004,CDBG,32260854.0
AR,2004,Emergency Shelter Grants Program,1159863.0
AR,2004,HOME,16586607.0
AR,2004,HOPWA,752000.0
AR,2005,CDBG,30662217.0
AR,2005,CoC,2853649.0
AR,2005,Emergency Shelter Grants Program,1179751.0
AR,2005,HOME,15877255.0
AR,2005,HOPWA,723000.0
AR,2006,CDBG,27653867.0
AR,2006,CoC,2881697.0
AR,2006,Emergency Shelter Grants Program,1179205.0
AR,2006,HOME,14999441.0
AR,2006,HOPWA,707000.0
AR,2007,CDBG,27767389.0
AR,2007,CoC,3852161.0
AR,2007,Emergency Shelter Grants Program,1192330.0
AR,2007,HOME,15050602.0
AR,2007,HOPWA,720000.0
AR,2008,CDBG,26998614.0
AR,2008,CoC,4145152.0
AR,2008,Emergency Shelter Grants Program,1196604.0
AR,2008,HOME,14789460.0
AR,2008,HOPWA,766000.0
AR,2009,CDBG,27425616.0
AR,2009,CoC,4696694.0
AR,2009,Emergency Shelter Grants Program,1202070.0
AR,2009,HOME,16430335.0
AR,2009,HOPWA,797682.0
AR,2009,NSP,19600000.0
AR,2010,CDBG,29830047.0
AR,2010,CoC,5358929.0
AR,2010,Emergency Shelter Grants Program,1203721.0
AR,2010,HOME,16397369.0
AR,2010,HOPWA,849352.0
AR,2010,NSP,15046706.0
AR,2011,CDBG,25019765.0
AR,2011,CoC,6325856.0
AR,2011,ESG,679840.0
AR,2011,Emergency Shelter Grants Program,1208604.0
AR,2011,HOME,14394711.0
AR,2011,HOPWA,863740.0
AR,2011,NSP,5000000.0
AR,2012,CDBG,23433880.0
AR,2012,CoC,4738880.0
AR,2012,ESG,2166647.0
AR,2012,HOME,9179710.0
AR,2012,HOPWA,863949.0
AR,2013,CDBG,24213373.0
AR,2013,CoC,4739132.0
AR,2013,ESG,1709620.0
AR,2013,HOME,8729920.0
AR,2013,HOPWA,817974.0
AR,2014,CDBG,23777379.0
AR,2014,CoC,4923250.0
AR,2014,ESG,1967063.0
AR,2014,HOME,8968841.0
AR,2014,HOPWA,850695.0
AR,2015,CDBG,23122229.0
AR,2015,CoC,4440716.0
AR,2015,ESG,2119435.0
AR,2015,HOME,7647629.0
AR,2015,HOPWA,873093.0
AR,2016,CDBG,23494915.0
AR,2016,CoC,4293758.0
AR,2016,ESG,2081178.0
AR,2016,HOME,7957142.0
AR,2016,HOPWA,898784.0
AR,2016,HTF,3000000.0
AR,2017,CDBG,23027734.0
AR,2017,CoC,4270569.0
AR,2017,ESG,2383028.0
AR,2017,HOME,7742832.0
AR,2017,HOPWA,1024137.0
AR,2017,HTF,3000000.0
AR,2018,CDBG,25504756.0
AR,2018,ESG,2071846.0
AR,2018,HOME,11816589.0
AR,2018,HOPWA,1160124.0
AR,2018,HTF,3000000.0
AZ,2003,CDBG,63395000.0
AZ,2003,Emergency Shelter Grants Program,1866000.0
AZ,2003,HOME,27132175.0
AZ,2003,HOPWA,1904000.0
AZ,2004,CDBG,63544104.0
AZ,2004,Emergency Shelter Grants Program,2318808.0
AZ,2004,HOME,27217696.0
AZ,2004,HOPWA,2945443.0
AZ,2005,CDBG,60447556.0
