state,state_name,year,total,youth,child,yadult,yparent,yparent_u18,yparent_18to24,ypchild,adult,non_ypfam,sh_youth,uns_youth,sh_child,uns_child,sh_yadult,uns_yadult,sh_yparent,uns_yparent,sh_yparent_u18,uns_yparent_u18,sh_yparent_18to24,uns_yparent_18to24,sh_ypchild,uns_ypchild,sh_adult,uns_adult,sh_non_ypfam,uns_non_ypfam
AK,Alaska ,2017,1845.0,162.0,15.0,147.0,22.0,0.0,22.0,39.0,1192.0,430.0,142.0,20.0,15.0,0.0,127.0,20.0,22.0,0.0,0.0,0.0,22.0,0.0,39.0,0.0,918.0,274.0,430.0,0.0
AL,Alabama,2017,3793.0,294.0,36.0,258.0,29.0,6.0,23.0,39.0,2691.0,740.0,182.0,112.0,34.0,2.0,148.0,110.0,26.0,3.0,6.0,0.0,20.0,3.0,35.0,4.0,1768.0,923.0,645.0,95.0
AR,Arkansas ,2017,2467.0,208.0,17.0,191.0,10.0,0.0,10.0,13.0,1860.0,376.0,87.0,121.0,15.0,2.0,72.0,119.0,10.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,850.0,1010.0,313.0,63.0
AZ,Arizona ,2017,8947.0,578.0,55.0,523.0,81.0,0.0,81.0,112.0,5910.0,2266.0,345.0,233.0,45.0,10.0,300.0,223.0,81.0,0.0,0.0,0.0,81.0,0.0,112.0,0.0,3078.0,2832.0,2165.0,101.0
CA,California ,2017,134278.0,15458.0,1649.0,13809.0,890.0,16.0,874.0,1058.0,97298.0,19574.0,2709.0,12749.0,198.0,1451.0,2511.0,11298.0,656.0,234.0,11.0,5.0,645.0,229.0,782.0,276.0,22313.0,74985.0,16176.0,3398.0
CO,Colorado ,2017,10940.0,763.0,45.0,718.0,110.0,0.0,110.0,138.0,6808.0,3121.0,428.0,335.0,23.0,22.0,405.0,313.0,74.0,36.0,0.0,0.0,74.0,36.0,99.0,39.0,4291.0,2517.0,2189.0,932.0
CT,Connecticut ,2017,3388.0,170.0,13.0,157.0,64.0,0.0,64.0,89.0,2038.0,1027.0,106.0,64.0,11.0,2.0,95.0,62.0,64.0,0.0,0.0,0.0,64.0,0.0,89.0,0.0,1690.0,348.0,1023.0,4.0
DC,Washington DC,2017,7473.0,228.0,5.0,223.0,397.0,0.0,397.0,482.0,3355.0,3011.0,194.0,34.0,5.0,0.0,189.0,34.0,397.0,0.0,0.0,0.0,397.0,0.0,482.0,0.0,2492.0,863.0,3011.0,0.0
DE,Delaware ,2017,994.0,45.0,2.0,43.0,20.0,2.0,18.0,25.0,570.0,334.0,43.0,2.0,2.0,0.0,41.0,2.0,20.0,0.0,2.0,0.0,18.0,0.0,25.0,0.0,520.0,50.0,328.0,6.0
FL,Florida ,2017,32190.0,2019.0,421.0,1598.0,328.0,16.0,312.0,483.0,20749.0,8611.0,1075.0,944.0,282.0,139.0,793.0,805.0,275.0,53.0,13.0,3.0,262.0,50.0,410.0,73.0,9856.0,10893.0,5495.0,3116.0
GA,Georgia ,2017,10174.0,526.0,28.0,498.0,75.0,0.0,75.0,139.0,6896.0,2538.0,328.0,198.0,24.0,4.0,304.0,194.0,62.0,13.0,0.0,0.0,62.0,13.0,121.0,18.0,3774.0,3122.0,2366.0,172.0
HI,Hawaii ,2017,7220.0,319.0,26.0,293.0,71.0,0.0,71.0,68.0,4216.0,2546.0,56.0,263.0,2.0,24.0,54.0,239.0,60.0,11.0,0.0,0.0,60.0,11.0,56.0,12.0,1202.0,3014.0,2046.0,500.0
IA,Iowa ,2017,2756.0,140.0,12.0,128.0,73.0,0.0,73.0,107.0,1360.0,1076.0,136.0,4.0,12.0,0.0,124.0,4.0,73.0,0.0,0.0,0.0,73.0,0.0,107.0,0.0,1260.0,100.0,1076.0,0.0
ID,Idaho ,2017,2037.0,113.0,7.0,106.0,17.0,0.0,17.0,24.0,1196.0,687.0,89.0,24.0,7.0,0.0,82.0,24.0,15.0,2.0,0.0,0.0,15.0,2.0,19.0,5.0,768.0,428.0,507.0,180.0
IL,Illinois ,2017,10798.0,730.0,49.0,681.0,290.0,1.0,289.0,406.0,6164.0,3208.0,592.0,138.0,46.0,3.0,546.0,135.0,276.0,14.0,1.0,0.0,275.0,14.0,389.0,17.0,4167.0,1997.0,3117.0,91.0
IN,Indiana ,2017,5438.0,294.0,30.0,264.0,70.0,0.0,70.0,93.0,3329.0,1652.0,252.0,42.0,29.0,1.0,223.0,41.0,69.0,1.0,0.0,0.0,69.0,1.0,92.0,1.0,2830.0,499.0,1626.0,26.0
KS,Kansas ,2017,2287.0,103.0,6.0,97.0,33.0,0.0,33.0,60.0,1320.0,771.0,79.0,24.0,6.0,0.0,73.0,24.0,32.0,1.0,0.0,0.0,32.0,1.0,56.0,4.0,1004.0,316.0,771.0,0.0
KY,Kentucky ,2017,4025.0,253.0,18.0,235.0,62.0,1.0,61.0,89.0,2779.0,842.0,194.0,59.0,14.0,4.0,180.0,55.0,56.0,6.0,1.0,0.0,55.0,6.0,83.0,6.0,2192.0,587.0,773.0,69.0
LA,Louisiana ,2017,3305.0,236.0,46.0,190.0,31.0,0.0,31.0,55.0,2323.0,660.0,186.0,50.0,45.0,1.0,141.0,49.0,28.0,3.0,0.0,0.0,28.0,3.0,48.0,7.0,1461.0,862.0,607.0,53.0
MA,Massachusetts ,2017,17565.0,469.0,57.0,412.0,572.0,0.0,572.0,715.0,5798.0,10011.0,407.0,62.0,54.0,3.0,353.0,59.0,572.0,0.0,0.0,0.0,572.0,0.0,715.0,0.0,4881.0,917.0,9999.0,12.0
MD,Maryland ,2017,7247.0,272.0,11.0,261.0,121.0,0.0,121.0,176.0,4805.0,1873.0,179.0,93.0,7.0,4.0,172.0,89.0,114.0,7.0,0.0,0.0,114.0,7.0,166.0,10.0,3330.0,1475.0,1722.0,151.0
ME,Maine ,2017,2280.0,178.0,28.0,150.0,26.0,2.0,24.0,33.0,1174.0,869.0,143.0,35.0,16.0,12.0,127.0,23.0,21.0,5.0,0.0,2.0,21.0,3.0,29.0,4.0,1101.0,73.0,806.0,63.0
MI,Michigan ,2017,9051.0,608.0,80.0,528.0,201.0,5.0,196.0,319.0,5020.0,2903.0,539.0,69.0,76.0,4.0,463.0,65.0,198.0,3.0,5.0,0.0,193.0,3.0,316.0,3.0,4176.0,844.0,2799.0,104.0
MN,Minnesota ,2017,7668.0,889.0,136.0,753.0,315.0,10.0,305.0,501.0,3010.0,2953.0,739.0,150.0,129.0,7.0,610.0,143.0,305.0,10.0,8.0,2.0,297.0,8.0,488.0,13.0,2153.0,857.0,2875.0,78.0
MO,Missouri ,2017,6037.0,548.0,101.0,447.0,163.0,4.0,159.0,218.0,3220.0,1888.0,455.0,93.0,91.0,10.0,364.0,83.0,162.0,1.0,4.0,0.0,158.0,1.0,217.0,1.0,2315.0,905.0,1736.0,152.0
MS,Mississippi ,2017,1472.0,59.0,21.0,38.0,9.0,0.0,9.0,14.0,1041.0,349.0,40.0,19.0,21.0,0.0,19.0,19.0,3.0,6.0,0.0,0.0,3.0,6.0,6.0,8.0,412.0,629.0,292.0,57.0
MT,Montana ,2017,1529.0,106.0,14.0,92.0,21.0,0.0,21.0,24.0,881.0,497.0,66.0,40.0,9.0,5.0,57.0,35.0,16.0,5.0,0.0,0.0,16.0,5.0,19.0,5.0,567.0,314.0,317.0,180.0
NC,North Carolina ,2017,8962.0,434.0,68.0,366.0,112.0,0.0,112.0,157.0,5610.0,2649.0,320.0,114.0,66.0,2.0,254.0,112.0,98.0,14.0,0.0,0.0,98.0,14.0,140.0,17.0,3809.0,1801.0,2144.0,505.0
ND,North Dakota ,2017,1089.0,80.0,17.0,63.0,17.0,0.0,17.0,19.0,752.0,221.0,66.0,14.0,17.0,0.0,49.0,14.0,9.0,8.0,0.0,0.0,9.0,8.0,11.0,8.0,584.0,168.0,88.0,133.0
NE,Nebraska ,2017,2501.0,164.0,11.0,153.0,54.0,0.0,54.0,60.0,1534.0,689.0,151.0,13.0,11.0,0.0,140.0,13.0,54.0,0.0,0.0,0.0,54.0,0.0,60.0,0.0,1427.0,107.0,689.0,0.0
NH,New Hampshire ,2017,1456.0,76.0,0.0,76.0,36.0,0.0,36.0,51.0,700.0,593.0,62.0,14.0,0.0,0.0,62.0,14.0,31.0,5.0,0.0,0.0,31.0,5.0,43.0,8.0,576.0,124.0,570.0,23.0
NJ,New Jersey ,2017,8536.0,492.0,53.0,439.0,225.0,0.0,225.0,300.0,4941.0,2578.0,432.0,60.0,52.0,1.0,380.0,59.0,225.0,0.0,0.0,0.0,225.0,0.0,300.0,0.0,3606.0,1335.0,2559.0,19.0
NM,New Mexico ,2017,2482.0,181.0,78.0,103.0,14.0,1.0,13.0,19.0,1684.0,584.0,138.0,43.0,77.0,1.0,61.0,42.0,14.0,0.0,1.0,0.0,13.0,0.0,19.0,0.0,1009.0,675.0,506.0,78.0
NV,Nevada ,2017,7833.0,2166.0,262.0,1904.0,30.0,1.0,29.0,35.0,5115.0,487.0,235.0,1931.0,23.0,239.0,212.0,1692.0,24.0,6.0,1.0,0.0,23.0,6.0,32.0,3.0,2486.0,2629.0,478.0,9.0
NY,New York ,2017,89503.0,2829.0,101.0,2728.0,3020.0,12.0,3008.0,3367.0,34561.0,45726.0,2535.0,294.0,95.0,6.0,2440.0,288.0,3017.0,3.0,12.0,0.0,3005.0,3.0,3364.0,3.0,30355.0,4206.0,45677.0,49.0
OH,Ohio ,2017,10095.0,695.0,64.0,631.0,160.0,1.0,159.0,223.0,5993.0,3024.0,584.0,111.0,63.0,1.0,521.0,110.0,154.0,6.0,1.0,0.0,153.0,6.0,216.0,7.0,4910.0,1083.0,2922.0,102.0
OK,Oklahoma ,2017,4199.0,363.0,45.0,318.0,50.0,0.0,50.0,63.0,2461.0,1262.0,253.0,110.0,27.0,18.0,226.0,92.0,44.0,6.0,0.0,0.0,44.0,6.0,55.0,8.0,1739.0,722.0,993.0,269.0
OR,Oregon ,2017,13953.0,1462.0,515.0,947.0,125.0,2.0,123.0,144.0,8972.0,3250.0,507.0,955.0,96.0,419.0,411.0,536.0,93.0,32.0,2.0,0.0,91.0,32.0,102.0,42.0,3786.0,5186.0,1498.0,1752.0
PA,Pennsylvania ,2017,14138.0,756.0,60.0,696.0,466.0,1.0,465.0,681.0,7515.0,4720.0,608.0,148.0,47.0,13.0,561.0,135.0,462.0,4.0,0.0,1.0,462.0,3.0,677.0,4.0,5921.0,1594.0,4672.0,48.0
RI,Rhode Island ,2017,1180.0,49.0,1.0,48.0,6.0,0.0,6.0,10.0,753.0,362.0,41.0,8.0,1.0,0.0,40.0,8.0,6.0,0.0,0.0,0.0,6.0,0.0,10.0,0.0,692.0,61.0,362.0,0.0
SC,South Carolina ,2017,3916.0,173.0,8.0,165.0,44.0,0.0,44.0,63.0,2723.0,913.0,108.0,65.0,6.0,2.0,102.0,63.0,36.0,8.0,0.0,0.0,36.0,8.0,53.0,10.0,1559.0,1164.0,659.0,254.0
SD,South Dakota ,2017,943.0,66.0,19.0,47.0,14.0,2.0,12.0,18.0,545.0,300.0,53.0,13.0,18.0,1.0,35.0,12.0,14.0,0.0,2.0,0.0,12.0,0.0,18.0,0.0,399.0,146.0,288.0,12.0
TN,Tennessee ,2017,8309.0,457.0,23.0,434.0,47.0,0.0,47.0,89.0,5680.0,2036.0,276.0,181.0,17.0,6.0,259.0,175.0,37.0,10.0,0.0,0.0,37.0,10.0,61.0,28.0,3607.0,2073.0,1563.0,473.0
TX,Texas ,2017,23548.0,1318.0,129.0,1189.0,301.0,5.0,296.0,512.0,15390.0,6027.0,772.0,546.0,113.0,16.0,659.0,530.0,282.0,19.0,5.0,0.0,277.0,19.0,481.0,31.0,7942.0,7448.0,5578.0,449.0
UT,Utah ,2017,2852.0,180.0,29.0,151.0,37.0,1.0,36.0,45.0,1702.0,888.0,146.0,34.0,29.0,0.0,117.0,34.0,37.0,0.0,1.0,0.0,36.0,0.0,45.0,0.0,1458.0,244.0,888.0,0.0
VA,Virginia ,2017,6067.0,303.0,15.0,288.0,83.0,0.0,83.0,109.0,3725.0,1847.0,247.0,56.0,15.0,0.0,232.0,56.0,83.0,0.0,0.0,0.0,83.0,0.0,109.0,0.0,2802.0,923.0,1818.0,29.0
VT,Vermont ,2017,1225.0,94.0,2.0,92.0,35.0,0.0,35.0,36.0,603.0,457.0,83.0,11.0,1.0,1.0,82.0,10.0,29.0,6.0,0.0,0.0,29.0,6.0,33.0,3.0,517.0,86.0,429.0,28.0
WA,Washington ,2017,21112.0,2135.0,304.0,1831.0,256.0,7.0,249.0,374.0,12646.0,5701.0,733.0,1402.0,90.0,214.0,643.0,1188.0,240.0,16.0,7.0,0.0,233.0,16.0,356.0,18.0,6000.0,6646.0,5192.0,509.0
WI,Wisconsin ,2017,5027.0,276.0,28.0,248.0,145.0,0.0,145.0,190.0,2369.0,2047.0,240.0,36.0,25.0,3.0,215.0,33.0,142.0,3.0,0.0,0.0,142.0,3.0,188.0,2.0,2077.0,292.0,2040.0,7.0
WV,West Virginia ,2017,1309.0,79.0,7.0,72.0,10.0,0.0,10.0,13.0,953.0,254.0,69.0,10.0,7.0,0.0,62.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,791.0,162.0,238.0,16.0
WY,Wyoming ,2017,873.0,62.0,19.0,43.0,16.0,0.0,16.0,11.0,560.0,224.0,43.0,19.0,6.0,13.0,37.0,6.0,13.0,3.0,0.0,0.0,13.0,3.0,8.0,3.0,340.0,220.0,106.0,118.0
AK,Alaska ,2016,1940.0,173.0,19.0,154.0,9.0,0.0,9.0,10.0,1354.0,394.0,137.0,36.0,19.0,0.0,118.0,36.0,9.0,0.0,0.0,0.0,9.0,0.0,10.0,0.0,952.0,402.0,390.0,4.0
AL,Alabama,2016,4111.0,254.0,28.0,226.0,31.0,5.0,26.0,45.0,2765.0,1016.0,173.0,81.0,28.0,0.0,145.0,81.0,25.0,6.0,5.0,0.0,20.0,6.0,39.0,6.0,1844.0,921.0,812.0,204.0
AR,Arkansas ,2016,2463.0,201.0,49.0,152.0,13.0,0.0,13.0,13.0,1637.0,599.0,117.0,84.0,49.0,0.0,68.0,84.0,13.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,1023.0,614.0,450.0,149.0
AZ,Arizona ,2016,9707.0,589.0,100.0,489.0,150.0,1.0,149.0,222.0,6070.0,2676.0,431.0,158.0,92.0,8.0,339.0,150.0,150.0,0.0,1.0,0.0,149.0,0.0,222.0,0.0,3133.0,2937.0,2527.0,149.0
CA,California ,2016,118142.0,11222.0,847.0,10375.0,862.0,10.0,852.0,1098.0,86438.0,18522.0,2531.0,8691.0,213.0,634.0,2318.0,8057.0,751.0,111.0,10.0,0.0,741.0,111.0,935.0,163.0,21189.0,65249.0,14346.0,4176.0
CO,Colorado ,2016,10550.0,653.0,39.0,614.0,157.0,2.0,155.0,217.0,5797.0,3726.0,383.0,270.0,26.0,13.0,357.0,257.0,133.0,24.0,1.0,1.0,132.0,23.0,187.0,30.0,3969.0,1828.0,2939.0,787.0
CT,Connecticut ,2016,3902.0,119.0,8.0,111.0,61.0,0.0,61.0,93.0,2451.0,1178.0,97.0,22.0,8.0,0.0,89.0,22.0,60.0,1.0,0.0,0.0,60.0,1.0,92.0,1.0,1806.0,645.0,1174.0,4.0
DC,Washington DC,2016,8350.0,211.0,10.0,201.0,527.0,0.0,527.0,688.0,3472.0,3452.0,178.0,33.0,10.0,0.0,168.0,33.0,527.0,0.0,0.0,0.0,527.0,0.0,688.0,0.0,3187.0,285.0,3452.0,0.0
DE,Delaware ,2016,1070.0,51.0,0.0,51.0,10.0,0.0,10.0,20.0,702.0,287.0,46.0,5.0,0.0,0.0,46.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,656.0,46.0,287.0,0.0
