state,state_name,year,total,individual,family,yparent,ypchild,non_ypfam,sh_ind,uns_ind,sh_fam,uns_fam,sh_yparent,uns_yparent,sh_ypchild,uns_ypchild,sh_non_ypfam,uns_non_ypfam
AK,Alaska ,2017,1845.0,1354.0,491.0,22.0,39.0,430.0,1060.0,294.0,491.0,0.0,22.0,0.0,39.0,0.0,430.0,0.0
AL,Alabama,2017,3793.0,2985.0,808.0,29.0,39.0,740.0,1950.0,1035.0,706.0,102.0,26.0,3.0,35.0,4.0,645.0,95.0
AR,Arkansas ,2017,2467.0,2068.0,399.0,10.0,13.0,376.0,937.0,1131.0,336.0,63.0,10.0,0.0,13.0,0.0,313.0,63.0
AZ,Arizona ,2017,8947.0,6488.0,2459.0,81.0,112.0,2266.0,3423.0,3065.0,2358.0,101.0,81.0,0.0,112.0,0.0,2165.0,101.0
CA,California ,2017,134278.0,112756.0,21522.0,890.0,1058.0,19574.0,25022.0,87734.0,17614.0,3908.0,656.0,234.0,782.0,276.0,16176.0,3398.0
CO,Colorado ,2017,10940.0,7571.0,3369.0,110.0,138.0,3121.0,4719.0,2852.0,2362.0,1007.0,74.0,36.0,99.0,39.0,2189.0,932.0
CT,Connecticut ,2017,3388.0,2208.0,1180.0,64.0,89.0,1027.0,1796.0,412.0,1176.0,4.0,64.0,0.0,89.0,0.0,1023.0,4.0
DC,Washington DC,2017,7473.0,3583.0,3890.0,397.0,482.0,3011.0,2686.0,897.0,3890.0,0.0,397.0,0.0,482.0,0.0,3011.0,0.0
DE,Delaware ,2017,994.0,615.0,379.0,20.0,25.0,334.0,563.0,52.0,373.0,6.0,20.0,0.0,25.0,0.0,328.0,6.0
FL,Florida ,2017,32190.0,22768.0,9422.0,328.0,483.0,8611.0,10931.0,11837.0,6180.0,3242.0,275.0,53.0,410.0,73.0,5495.0,3116.0
GA,Georgia ,2017,10174.0,7422.0,2752.0,75.0,139.0,2538.0,4102.0,3320.0,2549.0,203.0,62.0,13.0,121.0,18.0,2366.0,172.0
HI,Hawaii ,2017,7220.0,4535.0,2685.0,71.0,68.0,2546.0,1258.0,3277.0,2162.0,523.0,60.0,11.0,56.0,12.0,2046.0,500.0
IA,Iowa ,2017,2756.0,1500.0,1256.0,73.0,107.0,1076.0,1396.0,104.0,1256.0,0.0,73.0,0.0,107.0,0.0,1076.0,0.0
ID,Idaho ,2017,2037.0,1309.0,728.0,17.0,24.0,687.0,857.0,452.0,541.0,187.0,15.0,2.0,19.0,5.0,507.0,180.0
IL,Illinois ,2017,10798.0,6894.0,3904.0,290.0,406.0,3208.0,4759.0,2135.0,3782.0,122.0,276.0,14.0,389.0,17.0,3117.0,91.0
IN,Indiana ,2017,5438.0,3623.0,1815.0,70.0,93.0,1652.0,3082.0,541.0,1787.0,28.0,69.0,1.0,92.0,1.0,1626.0,26.0
KS,Kansas ,2017,2287.0,1423.0,864.0,33.0,60.0,771.0,1083.0,340.0,859.0,5.0,32.0,1.0,56.0,4.0,771.0,0.0
KY,Kentucky ,2017,4025.0,3032.0,993.0,62.0,89.0,842.0,2386.0,646.0,912.0,81.0,56.0,6.0,83.0,6.0,773.0,69.0
LA,Louisiana ,2017,3305.0,2559.0,746.0,31.0,55.0,660.0,1647.0,912.0,683.0,63.0,28.0,3.0,48.0,7.0,607.0,53.0
MA,Massachusetts ,2017,17565.0,6267.0,11298.0,572.0,715.0,10011.0,5288.0,979.0,11286.0,12.0,572.0,0.0,715.0,0.0,9999.0,12.0
MD,Maryland ,2017,7247.0,5077.0,2170.0,121.0,176.0,1873.0,3509.0,1568.0,2002.0,168.0,114.0,7.0,166.0,10.0,1722.0,151.0
ME,Maine ,2017,2280.0,1352.0,928.0,26.0,33.0,869.0,1244.0,108.0,856.0,72.0,21.0,5.0,29.0,4.0,806.0,63.0
MI,Michigan ,2017,9051.0,5628.0,3423.0,201.0,319.0,2903.0,4715.0,913.0,3313.0,110.0,198.0,3.0,316.0,3.0,2799.0,104.0
MN,Minnesota ,2017,7668.0,3899.0,3769.0,315.0,501.0,2953.0,2892.0,1007.0,3668.0,101.0,305.0,10.0,488.0,13.0,2875.0,78.0
MO,Missouri ,2017,6037.0,3768.0,2269.0,163.0,218.0,1888.0,2770.0,998.0,2115.0,154.0,162.0,1.0,217.0,1.0,1736.0,152.0
MS,Mississippi ,2017,1472.0,1100.0,372.0,9.0,14.0,349.0,452.0,648.0,301.0,71.0,3.0,6.0,6.0,8.0,292.0,57.0
MT,Montana ,2017,1529.0,987.0,542.0,21.0,24.0,497.0,633.0,354.0,352.0,190.0,16.0,5.0,19.0,5.0,317.0,180.0
NC,North Carolina ,2017,8962.0,6044.0,2918.0,112.0,157.0,2649.0,4129.0,1915.0,2382.0,536.0,98.0,14.0,140.0,17.0,2144.0,505.0
ND,North Dakota ,2017,1089.0,832.0,257.0,17.0,19.0,221.0,650.0,182.0,108.0,149.0,9.0,8.0,11.0,8.0,88.0,133.0
NE,Nebraska ,2017,2501.0,1698.0,803.0,54.0,60.0,689.0,1578.0,120.0,803.0,0.0,54.0,0.0,60.0,0.0,689.0,0.0
NH,New Hampshire ,2017,1456.0,776.0,680.0,36.0,51.0,593.0,638.0,138.0,644.0,36.0,31.0,5.0,43.0,8.0,570.0,23.0
NJ,New Jersey ,2017,8536.0,5433.0,3103.0,225.0,300.0,2578.0,4038.0,1395.0,3084.0,19.0,225.0,0.0,300.0,0.0,2559.0,19.0
NM,New Mexico ,2017,2482.0,1865.0,617.0,14.0,19.0,584.0,1147.0,718.0,539.0,78.0,14.0,0.0,19.0,0.0,506.0,78.0
NV,Nevada ,2017,7833.0,7281.0,552.0,30.0,35.0,487.0,2721.0,4560.0,534.0,18.0,24.0,6.0,32.0,3.0,478.0,9.0
NY,New York ,2017,89503.0,37390.0,52113.0,3020.0,3367.0,45726.0,32890.0,4500.0,52058.0,55.0,3017.0,3.0,3364.0,3.0,45677.0,49.0
OH,Ohio ,2017,10095.0,6688.0,3407.0,160.0,223.0,3024.0,5494.0,1194.0,3292.0,115.0,154.0,6.0,216.0,7.0,2922.0,102.0
OK,Oklahoma ,2017,4199.0,2824.0,1375.0,50.0,63.0,1262.0,1992.0,832.0,1092.0,283.0,44.0,6.0,55.0,8.0,993.0,269.0
OR,Oregon ,2017,13953.0,10434.0,3519.0,125.0,144.0,3250.0,4293.0,6141.0,1693.0,1826.0,93.0,32.0,102.0,42.0,1498.0,1752.0
PA,Pennsylvania ,2017,14138.0,8271.0,5867.0,466.0,681.0,4720.0,6529.0,1742.0,5811.0,56.0,462.0,4.0,677.0,4.0,4672.0,48.0
RI,Rhode Island ,2017,1180.0,802.0,378.0,6.0,10.0,362.0,733.0,69.0,378.0,0.0,6.0,0.0,10.0,0.0,362.0,0.0
SC,South Carolina ,2017,3916.0,2896.0,1020.0,44.0,63.0,913.0,1667.0,1229.0,748.0,272.0,36.0,8.0,53.0,10.0,659.0,254.0
SD,South Dakota ,2017,943.0,611.0,332.0,14.0,18.0,300.0,452.0,159.0,320.0,12.0,14.0,0.0,18.0,0.0,288.0,12.0
TN,Tennessee ,2017,8309.0,6137.0,2172.0,47.0,89.0,2036.0,3883.0,2254.0,1661.0,511.0,37.0,10.0,61.0,28.0,1563.0,473.0
TX,Texas ,2017,23548.0,16708.0,6840.0,301.0,512.0,6027.0,8714.0,7994.0,6341.0,499.0,282.0,19.0,481.0,31.0,5578.0,449.0
UT,Utah ,2017,2852.0,1882.0,970.0,37.0,45.0,888.0,1604.0,278.0,970.0,0.0,37.0,0.0,45.0,0.0,888.0,0.0
VA,Virginia ,2017,6067.0,4028.0,2039.0,83.0,109.0,1847.0,3049.0,979.0,2010.0,29.0,83.0,0.0,109.0,0.0,1818.0,29.0
VT,Vermont ,2017,1225.0,697.0,528.0,35.0,36.0,457.0,600.0,97.0,491.0,37.0,29.0,6.0,33.0,3.0,429.0,28.0
WA,Washington ,2017,21112.0,14781.0,6331.0,256.0,374.0,5701.0,6733.0,8048.0,5788.0,543.0,240.0,16.0,356.0,18.0,5192.0,509.0
WI,Wisconsin ,2017,5027.0,2645.0,2382.0,145.0,190.0,2047.0,2317.0,328.0,2370.0,12.0,142.0,3.0,188.0,2.0,2040.0,7.0
WV,West Virginia ,2017,1309.0,1032.0,277.0,10.0,13.0,254.0,860.0,172.0,261.0,16.0,10.0,0.0,13.0,0.0,238.0,16.0
WY,Wyoming ,2017,873.0,622.0,251.0,16.0,11.0,224.0,383.0,239.0,127.0,124.0,13.0,3.0,8.0,3.0,106.0,118.0
AK,Alaska ,2016,1940.0,1527.0,413.0,9.0,10.0,394.0,1089.0,438.0,409.0,4.0,9.0,0.0,10.0,0.0,390.0,4.0
AL,Alabama,2016,4111.0,3019.0,1092.0,31.0,45.0,1016.0,2017.0,1002.0,876.0,216.0,25.0,6.0,39.0,6.0,812.0,204.0
AR,Arkansas ,2016,2463.0,1838.0,625.0,13.0,13.0,599.0,1140.0,698.0,476.0,149.0,13.0,0.0,13.0,0.0,450.0,149.0
AZ,Arizona ,2016,9707.0,6659.0,3048.0,150.0,222.0,2676.0,3564.0,3095.0,2899.0,149.0,150.0,0.0,222.0,0.0,2527.0,149.0
CA,California ,2016,118142.0,97660.0,20482.0,862.0,1098.0,18522.0,23720.0,73940.0,16032.0,4450.0,751.0,111.0,935.0,163.0,14346.0,4176.0
CO,Colorado ,2016,10550.0,6450.0,4100.0,157.0,217.0,3726.0,4352.0,2098.0,3259.0,841.0,133.0,24.0,187.0,30.0,2939.0,787.0
CT,Connecticut ,2016,3902.0,2570.0,1332.0,61.0,93.0,1178.0,1903.0,667.0,1326.0,6.0,60.0,1.0,92.0,1.0,1174.0,4.0
DC,Washington DC,2016,8350.0,3683.0,4667.0,527.0,688.0,3452.0,3365.0,318.0,4667.0,0.0,527.0,0.0,688.0,0.0,3452.0,0.0
DE,Delaware ,2016,1070.0,753.0,317.0,10.0,20.0,287.0,702.0,51.0,317.0,0.0,10.0,0.0,20.0,0.0,287.0,0.0
FL,Florida ,2016,33559.0,24201.0,9358.0,320.0,485.0,8553.0,11641.0,12560.0,6557.0,2801.0,237.0,83.0,383.0,102.0,5937.0,2616.0
GA,Georgia ,2016,12909.0,9265.0,3644.0,90.0,125.0,3429.0,4785.0,4480.0,2758.0,886.0,83.0,7.0,105.0,20.0,2570.0,859.0
HI,Hawaii ,2016,7921.0,4590.0,3331.0,92.0,85.0,3154.0,1282.0,3308.0,2331.0,1000.0,52.0,40.0,50.0,35.0,2229.0,925.0
IA,Iowa ,2016,3064.0,1543.0,1521.0,112.0,177.0,1232.0,1400.0,143.0,1521.0,0.0,112.0,0.0,177.0,0.0,1232.0,0.0
ID,Idaho ,2016,2247.0,1284.0,963.0,39.0,49.0,875.0,886.0,398.0,623.0,340.0,24.0,15.0,31.0,18.0,568.0,307.0
