year,total,individual,family,youth,child,yadult,yparent,yparent_u18,yparent_18to24,ypchild,state_name
2017,1845.0,1354.0,491.0,162.0,15.0,147.0,22.0,0.0,22.0,39.0,Alaska
2017,3793.0,2985.0,808.0,294.0,36.0,258.0,29.0,6.0,23.0,39.0,Alabama
2017,2467.0,2068.0,399.0,208.0,17.0,191.0,10.0,0.0,10.0,13.0,Arkansas
2017,8947.0,6488.0,2459.0,578.0,55.0,523.0,81.0,0.0,81.0,112.0,Arizona
2017,134278.0,112756.0,21522.0,15458.0,1649.0,13809.0,890.0,16.0,874.0,1058.0,California
2017,10940.0,7571.0,3369.0,763.0,45.0,718.0,110.0,0.0,110.0,138.0,Colorado
2017,3388.0,2208.0,1180.0,170.0,13.0,157.0,64.0,0.0,64.0,89.0,Connecticut
2017,7473.0,3583.0,3890.0,228.0,5.0,223.0,397.0,0.0,397.0,482.0,Washington DC
2017,994.0,615.0,379.0,45.0,2.0,43.0,20.0,2.0,18.0,25.0,Delaware
2017,32190.0,22768.0,9422.0,2019.0,421.0,1598.0,328.0,16.0,312.0,483.0,Florida
2017,10174.0,7422.0,2752.0,526.0,28.0,498.0,75.0,0.0,75.0,139.0,Georgia
2017,7220.0,4535.0,2685.0,319.0,26.0,293.0,71.0,0.0,71.0,68.0,Hawaii
2017,2756.0,1500.0,1256.0,140.0,12.0,128.0,73.0,0.0,73.0,107.0,Iowa
2017,2037.0,1309.0,728.0,113.0,7.0,106.0,17.0,0.0,17.0,24.0,Idaho
2017,10798.0,6894.0,3904.0,730.0,49.0,681.0,290.0,1.0,289.0,406.0,Illinois
2017,5438.0,3623.0,1815.0,294.0,30.0,264.0,70.0,0.0,70.0,93.0,Indiana
2017,2287.0,1423.0,864.0,103.0,6.0,97.0,33.0,0.0,33.0,60.0,Kansas
2017,4025.0,3032.0,993.0,253.0,18.0,235.0,62.0,1.0,61.0,89.0,Kentucky
2017,3305.0,2559.0,746.0,236.0,46.0,190.0,31.0,0.0,31.0,55.0,Louisiana
2017,17565.0,6267.0,11298.0,469.0,57.0,412.0,572.0,0.0,572.0,715.0,Massachusetts
2017,7247.0,5077.0,2170.0,272.0,11.0,261.0,121.0,0.0,121.0,176.0,Maryland
2017,2280.0,1352.0,928.0,178.0,28.0,150.0,26.0,2.0,24.0,33.0,Maine
2017,9051.0,5628.0,3423.0,608.0,80.0,528.0,201.0,5.0,196.0,319.0,Michigan
2017,7668.0,3899.0,3769.0,889.0,136.0,753.0,315.0,10.0,305.0,501.0,Minnesota
2017,6037.0,3768.0,2269.0,548.0,101.0,447.0,163.0,4.0,159.0,218.0,Missouri
2017,1472.0,1100.0,372.0,59.0,21.0,38.0,9.0,0.0,9.0,14.0,Mississippi
2017,1529.0,987.0,542.0,106.0,14.0,92.0,21.0,0.0,21.0,24.0,Montana
2017,8962.0,6044.0,2918.0,434.0,68.0,366.0,112.0,0.0,112.0,157.0,North Carolina
2017,1089.0,832.0,257.0,80.0,17.0,63.0,17.0,0.0,17.0,19.0,North Dakota
2017,2501.0,1698.0,803.0,164.0,11.0,153.0,54.0,0.0,54.0,60.0,Nebraska
2017,1456.0,776.0,680.0,76.0,0.0,76.0,36.0,0.0,36.0,51.0,New Hampshire
2017,8536.0,5433.0,3103.0,492.0,53.0,439.0,225.0,0.0,225.0,300.0,New Jersey
2017,2482.0,1865.0,617.0,181.0,78.0,103.0,14.0,1.0,13.0,19.0,New Mexico
2017,7833.0,7281.0,552.0,2166.0,262.0,1904.0,30.0,1.0,29.0,35.0,Nevada
2017,89503.0,37390.0,52113.0,2829.0,101.0,2728.0,3020.0,12.0,3008.0,3367.0,New York
2017,10095.0,6688.0,3407.0,695.0,64.0,631.0,160.0,1.0,159.0,223.0,Ohio
2017,4199.0,2824.0,1375.0,363.0,45.0,318.0,50.0,0.0,50.0,63.0,Oklahoma
2017,13953.0,10434.0,3519.0,1462.0,515.0,947.0,125.0,2.0,123.0,144.0,Oregon
2017,14138.0,8271.0,5867.0,756.0,60.0,696.0,466.0,1.0,465.0,681.0,Pennsylvania
2017,1180.0,802.0,378.0,49.0,1.0,48.0,6.0,0.0,6.0,10.0,Rhode Island
2017,3916.0,2896.0,1020.0,173.0,8.0,165.0,44.0,0.0,44.0,63.0,South Carolina
2017,943.0,611.0,332.0,66.0,19.0,47.0,14.0,2.0,12.0,18.0,South Dakota
2017,8309.0,6137.0,2172.0,457.0,23.0,434.0,47.0,0.0,47.0,89.0,Tennessee
2017,23548.0,16708.0,6840.0,1318.0,129.0,1189.0,301.0,5.0,296.0,512.0,Texas
2017,2852.0,1882.0,970.0,180.0,29.0,151.0,37.0,1.0,36.0,45.0,Utah
2017,6067.0,4028.0,2039.0,303.0,15.0,288.0,83.0,0.0,83.0,109.0,Virginia
2017,1225.0,697.0,528.0,94.0,2.0,92.0,35.0,0.0,35.0,36.0,Vermont
2017,21112.0,14781.0,6331.0,2135.0,304.0,1831.0,256.0,7.0,249.0,374.0,Washington
2017,5027.0,2645.0,2382.0,276.0,28.0,248.0,145.0,0.0,145.0,190.0,Wisconsin
2017,1309.0,1032.0,277.0,79.0,7.0,72.0,10.0,0.0,10.0,13.0,West Virginia
2017,873.0,622.0,251.0,62.0,19.0,43.0,16.0,0.0,16.0,11.0,Wyoming
2016,1940.0,1527.0,413.0,173.0,19.0,154.0,9.0,0.0,9.0,10.0,Alaska
2016,4111.0,3019.0,1092.0,254.0,28.0,226.0,31.0,5.0,26.0,45.0,Alabama
2016,2463.0,1838.0,625.0,201.0,49.0,152.0,13.0,0.0,13.0,13.0,Arkansas
2016,9707.0,6659.0,3048.0,589.0,100.0,489.0,150.0,1.0,149.0,222.0,Arizona
2016,118142.0,97660.0,20482.0,11222.0,847.0,10375.0,862.0,10.0,852.0,1098.0,California
2016,10550.0,6450.0,4100.0,653.0,39.0,614.0,157.0,2.0,155.0,217.0,Colorado
2016,3902.0,2570.0,1332.0,119.0,8.0,111.0,61.0,0.0,61.0,93.0,Connecticut
2016,8350.0,3683.0,4667.0,211.0,10.0,201.0,527.0,0.0,527.0,688.0,Washington DC
2016,1070.0,753.0,317.0,51.0,0.0,51.0,10.0,0.0,10.0,20.0,Delaware
2016,33559.0,24201.0,9358.0,2094.0,514.0,1580.0,320.0,5.0,315.0,485.0,Florida
2016,12909.0,9265.0,3644.0,725.0,17.0,708.0,90.0,0.0,90.0,125.0,Georgia
2016,7921.0,4590.0,3331.0,309.0,26.0,283.0,92.0,1.0,91.0,85.0,Hawaii
2016,3064.0,1543.0,1521.0,160.0,18.0,142.0,112.0,0.0,112.0,177.0,Iowa
2016,2247.0,1284.0,963.0,130.0,16.0,114.0,39.0,0.0,39.0,49.0,Idaho
2016,11590.0,6986.0,4604.0,719.0,28.0,691.0,340.0,1.0,339.0,467.0,Illinois
2016,5798.0,3824.0,1974.0,365.0,37.0,328.0,88.0,0.0,88.0,147.0,Indiana
2016,2255.0,1228.0,1027.0,106.0,19.0,87.0,17.0,0.0,17.0,23.0,Kansas
2016,4237.0,2949.0,1288.0,220.0,21.0,199.0,73.0,0.0,73.0,109.0,Kentucky
2016,3994.0,3176.0,818.0,408.0,63.0,345.0,47.0,1.0,46.0,85.0,Louisiana
2016,19608.0,6434.0,13174.0,374.0,15.0,359.0,554.0,6.0,548.0,699.0,Massachusetts
2016,7689.0,4983.0,2706.0,279.0,15.0,264.0,148.0,0.0,148.0,225.0,Maryland
2016,2241.0,1321.0,920.0,177.0,31.0,146.0,34.0,3.0,31.0,38.0,Maine
2016,9316.0,5803.0,3513.0,725.0,102.0,623.0,251.0,6.0,245.0,381.0,Michigan
2016,7341.0,3669.0,3672.0,730.0,89.0,641.0,254.0,9.0,245.0,377.0,Minnesota
2016,6194.0,3810.0,2384.0,638.0,201.0,437.0,138.0,5.0,133.0,204.0,Missouri
2016,1738.0,1299.0,439.0,85.0,10.0,75.0,14.0,0.0,14.0,23.0,Mississippi
2016,1418.0,844.0,574.0,100.0,13.0,87.0,22.0,0.0,22.0,22.0,Montana
2016,9559.0,6396.0,3163.0,497.0,65.0,432.0,135.0,0.0,135.0,200.0,North Carolina
2016,923.0,662.0,261.0,74.0,10.0,64.0,13.0,0.0,13.0,18.0,North Dakota
2016,2754.0,1880.0,874.0,238.0,40.0,198.0,34.0,0.0,34.0,44.0,Nebraska
2016,1366.0,827.0,539.0,80.0,1.0,79.0,32.0,1.0,31.0,61.0,New Hampshire
2016,8895.0,5540.0,3355.0,533.0,34.0,499.0,269.0,0.0,269.0,337.0,New Jersey
2016,2263.0,1556.0,707.0,188.0,69.0,119.0,14.0,0.0,14.0,23.0,New Mexico
2016,7398.0,6853.0,545.0,1672.0,292.0,1380.0,34.0,1.0,33.0,42.0,Nevada
2016,86352.0,35315.0,51037.0,2889.0,188.0,2701.0,2724.0,11.0,2713.0,3311.0,New York
2016,10404.0,6946.0,3458.0,622.0,46.0,576.0,225.0,5.0,220.0,340.0,Ohio
2016,4107.0,2997.0,1110.0,410.0,39.0,371.0,50.0,0.0,50.0,70.0,Oklahoma
2016,13238.0,9379.0,3859.0,1175.0,236.0,939.0,133.0,0.0,133.0,169.0,Oregon
2016,15339.0,8599.0,6740.0,868.0,63.0,805.0,549.0,4.0,545.0,779.0,Pennsylvania
2016,1160.0,859.0,301.0,64.0,0.0,64.0,21.0,0.0,21.0,31.0,Rhode Island
2016,5051.0,3758.0,1293.0,266.0,20.0,246.0,48.0,2.0,46.0,76.0,South Carolina
2016,1072.0,548.0,524.0,77.0,9.0,68.0,19.0,1.0,18.0,25.0,South Dakota
2016,8779.0,6652.0,2127.0,416.0,26.0,390.0,107.0,0.0,107.0,147.0,Tennessee
