state,state_name,year,total,sheltered,unsheltered
AK,Alaska ,2017,1845.0,1551.0,294.0
AL,Alabama,2017,3793.0,2656.0,1137.0
AR,Arkansas ,2017,2467.0,1273.0,1194.0
AZ,Arizona ,2017,8947.0,5781.0,3166.0
CA,California ,2017,134278.0,42636.0,91642.0
CO,Colorado ,2017,10940.0,7081.0,3859.0
CT,Connecticut ,2017,3388.0,2972.0,416.0
DC,Washington DC,2017,7473.0,6576.0,897.0
DE,Delaware ,2017,994.0,936.0,58.0
FL,Florida ,2017,32190.0,17111.0,15079.0
GA,Georgia ,2017,10174.0,6651.0,3523.0
HI,Hawaii ,2017,7220.0,3420.0,3800.0
IA,Iowa ,2017,2756.0,2652.0,104.0
ID,Idaho ,2017,2037.0,1398.0,639.0
IL,Illinois ,2017,10798.0,8541.0,2257.0
IN,Indiana ,2017,5438.0,4869.0,569.0
KS,Kansas ,2017,2287.0,1942.0,345.0
KY,Kentucky ,2017,4025.0,3298.0,727.0
LA,Louisiana ,2017,3305.0,2330.0,975.0
MA,Massachusetts ,2017,17565.0,16574.0,991.0
MD,Maryland ,2017,7247.0,5511.0,1736.0
ME,Maine ,2017,2280.0,2100.0,180.0
MI,Michigan ,2017,9051.0,8028.0,1023.0
MN,Minnesota ,2017,7668.0,6560.0,1108.0
MO,Missouri ,2017,6037.0,4885.0,1152.0
MS,Mississippi ,2017,1472.0,753.0,719.0
MT,Montana ,2017,1529.0,985.0,544.0
NC,North Carolina ,2017,8962.0,6511.0,2451.0
ND,North Dakota ,2017,1089.0,758.0,331.0
NE,Nebraska ,2017,2501.0,2381.0,120.0
NH,New Hampshire ,2017,1456.0,1282.0,174.0
NJ,New Jersey ,2017,8536.0,7122.0,1414.0
NM,New Mexico ,2017,2482.0,1686.0,796.0
NV,Nevada ,2017,7833.0,3255.0,4578.0
NY,New York ,2017,89503.0,84948.0,4555.0
OH,Ohio ,2017,10095.0,8786.0,1309.0
OK,Oklahoma ,2017,4199.0,3084.0,1115.0
OR,Oregon ,2017,13953.0,5986.0,7967.0
PA,Pennsylvania ,2017,14138.0,12340.0,1798.0
RI,Rhode Island ,2017,1180.0,1111.0,69.0
SC,South Carolina ,2017,3916.0,2415.0,1501.0
SD,South Dakota ,2017,943.0,772.0,171.0
TN,Tennessee ,2017,8309.0,5544.0,2765.0
TX,Texas ,2017,23548.0,15055.0,8493.0
UT,Utah ,2017,2852.0,2574.0,278.0
VA,Virginia ,2017,6067.0,5059.0,1008.0
VT,Vermont ,2017,1225.0,1091.0,134.0
WA,Washington ,2017,21112.0,12521.0,8591.0
WI,Wisconsin ,2017,5027.0,4687.0,340.0
WV,West Virginia ,2017,1309.0,1121.0,188.0
WY,Wyoming ,2017,873.0,510.0,363.0
AK,Alaska ,2016,1940.0,1498.0,442.0
AL,Alabama,2016,4111.0,2893.0,1218.0
AR,Arkansas ,2016,2463.0,1616.0,847.0
AZ,Arizona ,2016,9707.0,6463.0,3244.0
CA,California ,2016,118142.0,39752.0,78390.0
CO,Colorado ,2016,10550.0,7611.0,2939.0
CT,Connecticut ,2016,3902.0,3229.0,673.0
DC,Washington DC,2016,8350.0,8032.0,318.0
DE,Delaware ,2016,1070.0,1019.0,51.0
FL,Florida ,2016,33559.0,18198.0,15361.0
