state,state_name,year,total,chronic,sh_chronic,uns_chronic,non_chronic,sh_chronic_ind,uns_chronic_ind,sh_chronic_fam,uns_chronic_fam
AK,Alaska ,2017,1845.0,257.0,158.0,99.0,1588.0,117.0,99.0,41.0,0.0
AL,Alabama,2017,3793.0,363.0,171.0,192.0,3430.0,152.0,192.0,19.0,0.0
AR,Arkansas ,2017,2467.0,473.0,147.0,326.0,1994.0,138.0,312.0,9.0,14.0
AZ,Arizona ,2017,8947.0,1552.0,546.0,1006.0,7395.0,492.0,971.0,54.0,35.0
CA,California ,2017,134278.0,37360.0,5235.0,32125.0,96918.0,4430.0,31368.0,805.0,757.0
CO,Colorado ,2017,10940.0,2264.0,977.0,1287.0,8676.0,914.0,1212.0,63.0,75.0
CT,Connecticut ,2017,3388.0,420.0,273.0,147.0,2968.0,240.0,147.0,33.0,0.0
DC,Washington DC,2017,7473.0,1881.0,1343.0,538.0,5592.0,932.0,538.0,411.0,0.0
DE,Delaware ,2017,994.0,127.0,102.0,25.0,867.0,98.0,25.0,4.0,0.0
FL,Florida ,2017,32190.0,5615.0,1241.0,4374.0,26575.0,1127.0,3824.0,114.0,550.0
GA,Georgia ,2017,10174.0,1028.0,462.0,566.0,9146.0,405.0,558.0,57.0,8.0
HI,Hawaii ,2017,7220.0,1800.0,207.0,1593.0,5420.0,164.0,1424.0,43.0,169.0
IA,Iowa ,2017,2756.0,199.0,143.0,56.0,2557.0,114.0,56.0,29.0,0.0
ID,Idaho ,2017,2037.0,436.0,302.0,134.0,1601.0,257.0,134.0,45.0,0.0
IL,Illinois ,2017,10798.0,1475.0,717.0,758.0,9323.0,644.0,711.0,73.0,47.0
IN,Indiana ,2017,5438.0,537.0,483.0,54.0,4901.0,432.0,54.0,51.0,0.0
KS,Kansas ,2017,2287.0,341.0,251.0,90.0,1946.0,166.0,86.0,85.0,4.0
KY,Kentucky ,2017,4025.0,405.0,267.0,138.0,3620.0,252.0,131.0,15.0,7.0
LA,Louisiana ,2017,3305.0,618.0,183.0,435.0,2687.0,174.0,435.0,9.0,0.0
MA,Massachusetts ,2017,17565.0,1914.0,1555.0,359.0,15651.0,885.0,353.0,670.0,6.0
MD,Maryland ,2017,7247.0,1520.0,816.0,704.0,5727.0,746.0,690.0,70.0,14.0
ME,Maine ,2017,2280.0,201.0,201.0,0.0,2079.0,189.0,0.0,12.0,0.0
MI,Michigan ,2017,9051.0,774.0,538.0,236.0,8277.0,482.0,227.0,56.0,9.0
MN,Minnesota ,2017,7668.0,906.0,552.0,354.0,6762.0,472.0,341.0,80.0,13.0
MO,Missouri ,2017,6037.0,1087.0,723.0,364.0,4950.0,525.0,358.0,198.0,6.0
MS,Mississippi ,2017,1472.0,72.0,24.0,48.0,1400.0,13.0,48.0,11.0,0.0
MT,Montana ,2017,1529.0,198.0,75.0,123.0,1331.0,73.0,109.0,2.0,14.0
NC,North Carolina ,2017,8962.0,1075.0,396.0,679.0,7887.0,359.0,635.0,37.0,44.0
ND,North Dakota ,2017,1089.0,45.0,25.0,20.0,1044.0,25.0,12.0,0.0,8.0
NE,Nebraska ,2017,2501.0,375.0,299.0,76.0,2126.0,285.0,76.0,14.0,0.0
NH,New Hampshire ,2017,1456.0,137.0,62.0,75.0,1319.0,38.0,62.0,24.0,13.0
NJ,New Jersey ,2017,8536.0,1069.0,652.0,417.0,7467.0,542.0,413.0,110.0,4.0
NM,New Mexico ,2017,2482.0,814.0,463.0,351.0,1668.0,385.0,327.0,78.0,24.0
NV,Nevada ,2017,7833.0,512.0,123.0,389.0,7321.0,121.0,381.0,2.0,8.0
NY,New York ,2017,89503.0,6578.0,4598.0,1980.0,82925.0,3110.0,1977.0,1488.0,3.0
OH,Ohio ,2017,10095.0,772.0,425.0,347.0,9323.0,396.0,329.0,29.0,18.0
OK,Oklahoma ,2017,4199.0,660.0,348.0,312.0,3539.0,295.0,283.0,53.0,29.0
OR,Oregon ,2017,13953.0,3387.0,868.0,2519.0,10566.0,768.0,2352.0,100.0,167.0
PA,Pennsylvania ,2017,14138.0,1438.0,828.0,610.0,12700.0,768.0,604.0,60.0,6.0
RI,Rhode Island ,2017,1180.0,240.0,215.0,25.0,940.0,215.0,25.0,0.0,0.0
SC,South Carolina ,2017,3916.0,824.0,236.0,588.0,3092.0,226.0,566.0,10.0,22.0
SD,South Dakota ,2017,943.0,144.0,112.0,32.0,799.0,81.0,20.0,31.0,12.0
TN,Tennessee ,2017,8309.0,1484.0,571.0,913.0,6825.0,482.0,813.0,89.0,100.0
TX,Texas ,2017,23548.0,3711.0,1481.0,2230.0,19837.0,1319.0,2178.0,162.0,52.0
UT,Utah ,2017,2852.0,185.0,141.0,44.0,2667.0,119.0,44.0,22.0,0.0
