state,state_name,year,total,veteran,non_veteran,sh_veteran,uns_veteran
AK,Alaska ,2017,1845.0,124.0,1721.0,95.0,29.0
AL,Alabama,2017,3793.0,269.0,3524.0,202.0,67.0
AR,Arkansas ,2017,2467.0,239.0,2228.0,130.0,109.0
AZ,Arizona ,2017,8947.0,970.0,7977.0,641.0,329.0
CA,California ,2017,134278.0,11472.0,122806.0,3815.0,7657.0
CO,Colorado ,2017,10940.0,1078.0,9862.0,743.0,335.0
CT,Connecticut ,2017,3388.0,191.0,3197.0,177.0,14.0
DC,Washington DC,2017,7473.0,285.0,7188.0,250.0,35.0
DE,Delaware ,2017,994.0,91.0,903.0,85.0,6.0
FL,Florida ,2017,32190.0,2817.0,29373.0,1821.0,996.0
GA,Georgia ,2017,10174.0,712.0,9462.0,466.0,246.0
HI,Hawaii ,2017,7220.0,615.0,6605.0,237.0,378.0
IA,Iowa ,2017,2756.0,171.0,2585.0,153.0,18.0
ID,Idaho ,2017,2037.0,228.0,1809.0,159.0,69.0
IL,Illinois ,2017,10798.0,864.0,9934.0,575.0,289.0
IN,Indiana ,2017,5438.0,615.0,4823.0,569.0,46.0
KS,Kansas ,2017,2287.0,217.0,2070.0,177.0,40.0
KY,Kentucky ,2017,4025.0,489.0,3536.0,445.0,44.0
LA,Louisiana ,2017,3305.0,383.0,2922.0,329.0,54.0
MA,Massachusetts ,2017,17565.0,853.0,16712.0,808.0,45.0
MD,Maryland ,2017,7247.0,536.0,6711.0,440.0,96.0
ME,Maine ,2017,2280.0,131.0,2149.0,120.0,11.0
MI,Michigan ,2017,9051.0,773.0,8278.0,713.0,60.0
MN,Minnesota ,2017,7668.0,281.0,7387.0,244.0,37.0
MO,Missouri ,2017,6037.0,538.0,5499.0,449.0,89.0
MS,Mississippi ,2017,1472.0,57.0,1415.0,39.0,18.0
MT,Montana ,2017,1529.0,205.0,1324.0,125.0,80.0
NC,North Carolina ,2017,8962.0,931.0,8031.0,732.0,199.0
ND,North Dakota ,2017,1089.0,74.0,1015.0,58.0,16.0
NE,Nebraska ,2017,2501.0,174.0,2327.0,172.0,2.0
NH,New Hampshire ,2017,1456.0,124.0,1332.0,113.0,11.0
NJ,New Jersey ,2017,8536.0,583.0,7953.0,494.0,89.0
NM,New Mexico ,2017,2482.0,248.0,2234.0,135.0,113.0
NV,Nevada ,2017,7833.0,832.0,7001.0,492.0,340.0
NY,New York ,2017,89503.0,1244.0,88259.0,1186.0,58.0
OH,Ohio ,2017,10095.0,862.0,9233.0,785.0,77.0
OK,Oklahoma ,2017,4199.0,349.0,3850.0,235.0,114.0
OR,Oregon ,2017,13953.0,1251.0,12702.0,583.0,668.0
PA,Pennsylvania ,2017,14138.0,963.0,13175.0,875.0,88.0
RI,Rhode Island ,2017,1180.0,95.0,1085.0,92.0,3.0
SC,South Carolina ,2017,3916.0,480.0,3436.0,321.0,159.0
SD,South Dakota ,2017,943.0,130.0,813.0,123.0,7.0
TN,Tennessee ,2017,8309.0,757.0,7552.0,615.0,142.0
TX,Texas ,2017,23548.0,2200.0,21348.0,1379.0,821.0
UT,Utah ,2017,2852.0,220.0,2632.0,203.0,17.0
VA,Virginia ,2017,6067.0,478.0,5589.0,384.0,94.0
VT,Vermont ,2017,1225.0,94.0,1131.0,89.0,5.0
WA,Washington ,2017,21112.0,2093.0,19019.0,1094.0,999.0
WI,Wisconsin ,2017,5027.0,329.0,4698.0,309.0,20.0
WV,West Virginia ,2017,1309.0,137.0,1172.0,124.0,13.0
WY,Wyoming ,2017,873.0,63.0,810.0,50.0,13.0
AK,Alaska ,2016,1940.0,168.0,1772.0,112.0,56.0
AL,Alabama,2016,4111.0,373.0,3738.0,321.0,52.0
AR,Arkansas ,2016,2463.0,222.0,2241.0,159.0,63.0
AZ,Arizona ,2016,9707.0,1036.0,8671.0,663.0,373.0
CA,California ,2016,118142.0,9612.0,108530.0,4012.0,5600.0
CO,Colorado ,2016,10550.0,1181.0,9369.0,906.0,275.0
CT,Connecticut ,2016,3902.0,216.0,3686.0,173.0,43.0
DC,Washington DC,2016,8350.0,350.0,8000.0,322.0,28.0
DE,Delaware ,2016,1070.0,107.0,963.0,103.0,4.0
FL,Florida ,2016,33559.0,2902.0,30657.0,1825.0,1077.0
GA,Georgia ,2016,12909.0,1055.0,11854.0,581.0,474.0
HI,Hawaii ,2016,7921.0,670.0,7251.0,264.0,406.0
IA,Iowa ,2016,3064.0,170.0,2894.0,154.0,16.0
ID,Idaho ,2016,2247.0,267.0,1980.0,202.0,65.0
IL,Illinois ,2016,11590.0,949.0,10641.0,713.0,236.0
IN,Indiana ,2016,5798.0,663.0,5135.0,614.0,49.0
KS,Kansas ,2016,2255.0,169.0,2086.0,138.0,31.0
KY,Kentucky ,2016,4237.0,512.0,3725.0,452.0,60.0
LA,Louisiana ,2016,3994.0,400.0,3594.0,363.0,37.0
MA,Massachusetts ,2016,19608.0,949.0,18659.0,915.0,34.0
MD,Maryland ,2016,7689.0,555.0,7134.0,436.0,119.0
ME,Maine ,2016,2241.0,146.0,2095.0,125.0,21.0
MI,Michigan ,2016,9316.0,822.0,8494.0,758.0,64.0
MN,Minnesota ,2016,7341.0,279.0,7062.0,248.0,31.0
MO,Missouri ,2016,6194.0,575.0,5619.0,494.0,81.0
MS,Mississippi ,2016,1738.0,144.0,1594.0,58.0,86.0
MT,Montana ,2016,1418.0,165.0,1253.0,92.0,73.0
NC,North Carolina ,2016,9559.0,888.0,8671.0,730.0,158.0
ND,North Dakota ,2016,923.0,116.0,807.0,63.0,53.0
NE,Nebraska ,2016,2754.0,219.0,2535.0,211.0,8.0
NH,New Hampshire ,2016,1366.0,123.0,1243.0,119.0,4.0
NJ,New Jersey ,2016,8895.0,556.0,8339.0,485.0,71.0
NM,New Mexico ,2016,2263.0,214.0,2049.0,150.0,64.0
NV,Nevada ,2016,7398.0,851.0,6547.0,437.0,414.0
NY,New York ,2016,86352.0,1248.0,85104.0,1156.0,92.0
OH,Ohio ,2016,10404.0,930.0,9474.0,845.0,85.0
OK,Oklahoma ,2016,4107.0,358.0,3749.0,260.0,98.0
OR,Oregon ,2016,13238.0,1341.0,11897.0,603.0,738.0
PA,Pennsylvania ,2016,15339.0,1136.0,14203.0,1088.0,48.0
RI,Rhode Island ,2016,1160.0,89.0,1071.0,89.0,0.0
SC,South Carolina ,2016,5051.0,738.0,4313.0,452.0,286.0
SD,South Dakota ,2016,1072.0,120.0,952.0,109.0,11.0
TN,Tennessee ,2016,8779.0,831.0,7948.0,654.0,177.0
TX,Texas ,2016,23122.0,1768.0,21354.0,1285.0,483.0
UT,Utah ,2016,2807.0,335.0,2472.0,311.0,24.0
VA,Virginia ,2016,6268.0,515.0,5753.0,439.0,76.0
VT,Vermont ,2016,1117.0,110.0,1007.0,97.0,13.0
WA,Washington ,2016,20827.0,1484.0,19343.0,999.0,485.0
WI,Wisconsin ,2016,5685.0,415.0,5270.0,392.0,23.0
WV,West Virginia ,2016,1387.0,143.0,1244.0,126.0,17.0
WY,Wyoming ,2016,857.0,87.0,770.0,56.0,31.0
AK,Alaska ,2015,1956.0,180.0,1776.0,149.0,31.0
AL,Alabama,2015,3970.0,474.0,3496.0,399.0,75.0
AR,Arkansas ,2015,2560.0,456.0,2104.0,385.0,71.0
AZ,Arizona ,2015,9896.0,1220.0,8676.0,672.0,548.0
CA,California ,2015,115738.0,11311.0,104427.0,4309.0,7002.0
