year,count_type,estimate,margin_of_error,state
2007,total,4627851,,AL
2007,two_or_more_exc_other_or_three_plus,55067,4495.0,AL
2007,white,3254107,5821.0,AL
2007,black_aa,1212118,5691.0,AL
2007,am_indian_native,20690,1954.0,AL
2007,asian,44561,3209.0,AL
2007,hawaiian_islander,1518,1310.0,AL
2007,other,34689,3695.0,AL
2007,two_or_more,60168,4763.0,AL
2007,two_or_more_inculding_other,5101,1570.0,AL
2007,total,683478,,AK
2007,two_or_more_exc_other_or_three_plus,45414,3878.0,AK
2007,white,465234,2534.0,AK
2007,black_aa,25821,2172.0,AK
2007,am_indian_native,92058,3176.0,AK
2007,asian,32936,1975.0,AK
2007,hawaiian_islander,4978,1185.0,AK
2007,other,15531,2952.0,AK
2007,two_or_more,46920,4037.0,AK
2007,two_or_more_inculding_other,1506,731.0,AK
2007,total,6338755,,AZ
2007,two_or_more_exc_other_or_three_plus,99957,7714.0,AZ
2007,white,4841990,21733.0,AZ
2007,black_aa,224991,5520.0,AZ
2007,am_indian_native,281096,5218.0,AZ
2007,asian,151414,3474.0,AZ
2007,hawaiian_islander,7701,1101.0,AZ
2007,other,677188,21346.0,AZ
2007,two_or_more,154375,9650.0,AZ
2007,two_or_more_inculding_other,54418,5979.0,AZ
2007,total,2834797,,AR
2007,two_or_more_exc_other_or_three_plus,43985,3937.0,AR
2007,white,2226758,5666.0,AR
2007,black_aa,442279,4286.0,AR
2007,am_indian_native,17425,2101.0,AR
2007,asian,33933,2991.0,AR
2007,hawaiian_islander,2274,727.0,AR
2007,other,63856,5827.0,AR
2007,two_or_more,48272,4478.0,AR
2007,two_or_more_inculding_other,4287,1805.0,AR
2007,total,36553215,,CA
2007,two_or_more_exc_other_or_three_plus,854433,19033.0,CA
2007,white,22026736,61328.0,CA
2007,black_aa,2263363,12575.0,CA
2007,am_indian_native,266051,10336.0,CA
2007,asian,4511407,14112.0,CA
2007,hawaiian_islander,126345,4508.0,CA
2007,other,6096927,64388.0,CA
2007,two_or_more,1262386,26412.0,CA
2007,two_or_more_inculding_other,407953,16135.0,CA
2007,total,4861515,,CO
2007,two_or_more_exc_other_or_three_plus,93906,6051.0,CO
2007,white,4061059,15114.0,CO
2007,black_aa,189217,4534.0,CO
2007,am_indian_native,46172,4368.0,CO
2007,asian,131699,3317.0,CO
2007,hawaiian_islander,3704,1104.0,CO
2007,other,302807,14246.0,CO
2007,two_or_more,126857,7050.0,CO
2007,two_or_more_inculding_other,32951,4223.0,CO
2007,total,3502309,,CT
2007,two_or_more_exc_other_or_three_plus,54757,5160.0,CT
2007,white,2786401,9488.0,CT
2007,black_aa,328401,5222.0,CT
2007,am_indian_native,8211,1578.0,CT
2007,asian,118216,2114.0,CT
2007,hawaiian_islander,895,722.0,CT
2007,other,189379,9599.0,CT
2007,two_or_more,70806,5485.0,CT
2007,two_or_more_inculding_other,16049,3004.0,CT
2007,total,864764,,DE
2007,two_or_more_exc_other_or_three_plus,15938,3096.0,DE
2007,white,625354,2961.0,DE
2007,black_aa,175682,3154.0,DE
2007,am_indian_native,2223,717.0,DE
2007,asian,25372,1333.0,DE
2007,hawaiian_islander,532,461.0,DE
2007,other,18623,2783.0,DE
2007,two_or_more,16978,3365.0,DE
2007,two_or_more_inculding_other,1040,729.0,DE
2007,total,588292,,
2007,two_or_more_exc_other_or_three_plus,8254,1589.0,
2007,white,210332,3230.0,
2007,black_aa,321646,1629.0,
2007,am_indian_native,1172,460.0,
2007,asian,18066,1198.0,
2007,hawaiian_islander,0,300.0,
2007,other,27591,3508.0,
2007,two_or_more,9485,1674.0,
2007,two_or_more_inculding_other,1231,621.0,
2007,total,18251243,,FL
2007,two_or_more_exc_other_or_three_plus,236666,11433.0,FL
2007,white,13921401,25282.0,FL
2007,black_aa,2800374,14573.0,FL
2007,am_indian_native,53978,4293.0,FL
2007,asian,409144,5547.0,FL
2007,hawaiian_islander,10022,3001.0,FL
2007,other,740050,25344.0,FL
2007,two_or_more,316274,13049.0,FL
2007,two_or_more_inculding_other,79608,5884.0,FL
2007,total,9544750,,GA
2007,two_or_more_exc_other_or_three_plus,100055,7545.0,GA
2007,white,5918880,14822.0,GA
2007,black_aa,2855189,10137.0,GA
2007,am_indian_native,22350,3384.0,GA
2007,asian,265188,4291.0,GA
2007,hawaiian_islander,4824,2028.0,GA
2007,other,359719,15508.0,GA
2007,two_or_more,118600,7981.0,GA
2007,two_or_more_inculding_other,18545,3325.0,GA
2007,total,1283388,,HI
2007,two_or_more_exc_other_or_three_plus,277959,10813.0,HI
2007,white,341779,3685.0,HI
2007,black_aa,27836,2420.0,HI
2007,am_indian_native,3359,911.0,HI
2007,asian,498468,8619.0,HI
2007,hawaiian_islander,108583,3876.0,HI
2007,other,17034,2711.0,HI
2007,two_or_more,286329,11422.0,HI
2007,two_or_more_inculding_other,8370,2244.0,HI
2007,total,1499402,,ID
2007,two_or_more_exc_other_or_three_plus,28823,2673.0,ID
2007,white,1386347,4538.0,ID
2007,black_aa,9011,1659.0,ID
2007,am_indian_native,19347,2805.0,ID
2007,asian,16810,1817.0,ID
2007,hawaiian_islander,2149,860.0,ID
2007,other,33071,4120.0,ID
2007,two_or_more,32667,2771.0,ID
2007,two_or_more_inculding_other,3844,1189.0,ID
2007,total,12852548,,IL
2007,two_or_more_exc_other_or_three_plus,143360,8637.0,IL
2007,white,9057076,18787.0,IL
2007,black_aa,1884069,8167.0,IL
2007,am_indian_native,21705,2914.0,IL
2007,asian,551835,4307.0,IL
2007,hawaiian_islander,6074,1415.0,IL
2007,other,1132783,20341.0,IL
2007,two_or_more,199006,11421.0,IL
2007,two_or_more_inculding_other,55646,5740.0,IL
2007,total,6345289,,IN
2007,two_or_more_exc_other_or_three_plus,92338,5728.0,IN
2007,white,5436898,8556.0,IN
2007,black_aa,551215,6084.0,IN
2007,am_indian_native,13410,1926.0,IN
2007,asian,83200,2664.0,IN
2007,hawaiian_islander,969,541.0,IN
2007,other,152795,7457.0,IN
2007,two_or_more,106802,6716.0,IN
2007,two_or_more_inculding_other,14464,2798.0,IN
2007,total,2988047,,IA
2007,two_or_more_exc_other_or_three_plus,35317,3281.0,IA
2007,white,2766081,5527.0,IA
2007,black_aa,70018,2980.0,IA
2007,am_indian_native,9111,1347.0,IA
2007,asian,47849,2025.0,IA
2007,hawaiian_islander,1395,743.0,IA
2007,other,52435,5537.0,IA
2007,two_or_more,41158,3771.0,IA
2007,two_or_more_inculding_other,5841,1710.0,IA
2007,total,2775997,,KS
2007,two_or_more_exc_other_or_three_plus,59908,4812.0,KS
2007,white,2374824,6520.0,KS
2007,black_aa,159268,4646.0,KS
2007,am_indian_native,23615,2865.0,KS
2007,asian,59948,2319.0,KS
2007,hawaiian_islander,1036,618.0,KS
2007,other,84581,6739.0,KS
2007,two_or_more,72725,5270.0,KS
2007,two_or_more_inculding_other,12817,2502.0,KS
2007,total,4241474,,KY
2007,two_or_more_exc_other_or_three_plus,48352,4623.0,KY
2007,white,3781361,4853.0,KY
2007,black_aa,322149,5145.0,KY
2007,am_indian_native,6974,1749.0,KY
2007,asian,39749,2413.0,KY
2007,hawaiian_islander,1813,1108.0,KY
2007,other,34108,3567.0,KY
2007,two_or_more,55320,4865.0,KY
2007,two_or_more_inculding_other,6968,1733.0,KY
2007,total,4293204,,LA
2007,two_or_more_exc_other_or_three_plus,48860,5839.0,LA
2007,white,2756277,4944.0,LA
2007,black_aa,1357893,6202.0,LA
2007,am_indian_native,21683,1529.0,LA
2007,asian,59825,2237.0,LA
2007,hawaiian_islander,1803,825.0,LA
2007,other,40811,4754.0,LA
