location,bedroom_size,month,year,price
Alabama,Studio,01,2014,573.0
Alabama,Studio,01,2015,580.0
Alabama,Studio,01,2016,580.0
Alabama,Studio,01,2017,592.0
Alabama,Studio,02,2014,573.0
Alabama,Studio,02,2015,580.0
Alabama,Studio,02,2016,578.0
Alabama,Studio,02,2017,594.0
Alabama,Studio,03,2014,574.0
Alabama,Studio,03,2015,580.0
Alabama,Studio,03,2016,576.0
Alabama,Studio,03,2017,595.0
Alabama,Studio,04,2014,574.0
Alabama,Studio,04,2015,581.0
Alabama,Studio,04,2016,580.0
Alabama,Studio,04,2017,597.0
Alabama,Studio,05,2014,575.0
Alabama,Studio,05,2015,582.0
Alabama,Studio,05,2016,583.0
Alabama,Studio,05,2017,599.0
Alabama,Studio,06,2014,576.0
Alabama,Studio,06,2015,581.0
Alabama,Studio,06,2016,586.0
Alabama,Studio,06,2017,601.0
Alabama,Studio,07,2014,578.0
Alabama,Studio,07,2015,581.0
Alabama,Studio,07,2016,588.0
Alabama,Studio,07,2017,603.0
Alabama,Studio,08,2014,580.0
Alabama,Studio,08,2015,579.0
Alabama,Studio,08,2016,589.0
Alabama,Studio,08,2017,603.0
Alabama,Studio,09,2014,580.0
Alabama,Studio,09,2015,579.0
Alabama,Studio,09,2016,589.0
Alabama,Studio,09,2017,602.0
Alabama,Studio,10,2014,580.0
Alabama,Studio,10,2015,579.0
Alabama,Studio,10,2016,589.0
Alabama,Studio,10,2017,602.0
Alabama,Studio,11,2014,580.0
Alabama,Studio,11,2015,579.0
Alabama,Studio,11,2016,590.0
Alabama,Studio,11,2017,602.0
Alabama,Studio,12,2014,580.0
Alabama,Studio,12,2015,581.0
Alabama,Studio,12,2016,591.0
Alabama,Studio,12,2017,601.0
Alabama,1br,01,2014,624.0
Alabama,1br,01,2015,631.0
Alabama,1br,01,2016,631.0
Alabama,1br,01,2017,645.0
Alabama,1br,02,2014,624.0
Alabama,1br,02,2015,631.0
Alabama,1br,02,2016,630.0
Alabama,1br,02,2017,646.0
Alabama,1br,03,2014,625.0
Alabama,1br,03,2015,632.0
Alabama,1br,03,2016,627.0
Alabama,1br,03,2017,647.0
Alabama,1br,04,2014,625.0
Alabama,1br,04,2015,632.0
Alabama,1br,04,2016,631.0
Alabama,1br,04,2017,650.0
Alabama,1br,05,2014,626.0
Alabama,1br,05,2015,633.0
Alabama,1br,05,2016,635.0
Alabama,1br,05,2017,652.0
Alabama,1br,06,2014,627.0
Alabama,1br,06,2015,632.0
Alabama,1br,06,2016,638.0
Alabama,1br,06,2017,655.0
Alabama,1br,07,2014,629.0
Alabama,1br,07,2015,633.0
Alabama,1br,07,2016,640.0
Alabama,1br,07,2017,656.0
Alabama,1br,08,2014,631.0
Alabama,1br,08,2015,631.0
Alabama,1br,08,2016,641.0
Alabama,1br,08,2017,656.0
Alabama,1br,09,2014,631.0
Alabama,1br,09,2015,630.0
Alabama,1br,09,2016,641.0
Alabama,1br,09,2017,656.0
Alabama,1br,10,2014,631.0
Alabama,1br,10,2015,630.0
Alabama,1br,10,2016,642.0
Alabama,1br,10,2017,655.0
Alabama,1br,11,2014,631.0
