location,year,price
Alabama,2014,602.4583333333334
Alabama,2015,605.875
Alabama,2016,610.8333333333334
Alabama,2017,625.7916666666666
Alaska,2014,912.75
Alaska,2015,912.9166666666666
Alaska,2016,892.625
Alaska,2017,878.625
Arizona,2014,665.2083333333334
Arizona,2015,690.7083333333334
Arizona,2016,714.6666666666666
Arizona,2017,744.4166666666666
Arkansas,2014,528.0416666666666
Arkansas,2015,532.4583333333334
Arkansas,2016,536.0416666666666
Arkansas,2017,544.4166666666666
California,2014,1132.7083333333333
California,2015,1202.25
California,2016,1257.8333333333333
California,2017,1308.875
Colorado,2014,799.9166666666666
Colorado,2015,863.2916666666666
Colorado,2016,902.75
Colorado,2017,929.75
Connecticut,2014,939.7083333333334
Connecticut,2015,957.0
Connecticut,2016,971.5
Connecticut,2017,983.0833333333334
Delaware,2014,833.625
Delaware,2015,851.4166666666666
Delaware,2016,879.0416666666666
Delaware,2017,899.9583333333334
District of Columbia,2014,1375.6666666666667
District of Columbia,2015,1382.4166666666667
District of Columbia,2016,1426.125
District of Columbia,2017,1427.4166666666667
Florida,2014,788.875
Florida,2015,826.7083333333334
Florida,2016,851.375
Florida,2017,876.625
Georgia,2014,718.5416666666666
Georgia,2015,758.25
Georgia,2016,792.875
Georgia,2017,821.6666666666666
Hawaii,2014,1267.7916666666667
Hawaii,2015,1315.9583333333333
Hawaii,2016,1385.0
Hawaii,2017,1397.3333333333333
Idaho,2014,540.125
Idaho,2015,552.9166666666666
Idaho,2016,564.25
Idaho,2017,589.2083333333334
Illinois,2014,797.6666666666666
Illinois,2015,817.8333333333334
Illinois,2016,829.8333333333334
Illinois,2017,845.125
Indiana,2014,575.75
Indiana,2015,577.625
Indiana,2016,586.0
Indiana,2017,596.8333333333334
Iowa,2014,542.75
Iowa,2015,550.4583333333334
Iowa,2016,558.9583333333334
Iowa,2017,565.5
Kansas,2014,570.4583333333334
Kansas,2015,581.2083333333334
Kansas,2016,591.2916666666666
Kansas,2017,602.7083333333334
Kentucky,2014,530.4166666666666
Kentucky,2015,542.7916666666666
Kentucky,2016,557.2083333333334
Kentucky,2017,571.625
Louisiana,2014,637.2916666666666
Louisiana,2015,641.7083333333334
Louisiana,2016,638.75
Louisiana,2017,651.2916666666666
Maine,2014,692.5416666666666
Maine,2015,708.5
Maine,2016,728.5416666666666
Maine,2017,747.1666666666666
Maryland,2014,1091.0833333333333
Maryland,2015,1119.7083333333333
Maryland,2016,1144.25
Maryland,2017,1161.5416666666667
Massachusetts,2014,1082.7916666666667
Massachusetts,2015,1116.4166666666667
Massachusetts,2016,1154.625
Massachusetts,2017,1186.625
Michigan,2014,606.7083333333334
Michigan,2015,618.6666666666666
Michigan,2016,635.0
Michigan,2017,651.125
Minnesota,2014,682.5
Minnesota,2015,703.5416666666666
Minnesota,2016,726.8333333333334
Minnesota,2017,752.7083333333334
Mississippi,2014,585.7083333333334
Mississippi,2015,594.4166666666666
Mississippi,2016,601.375
Mississippi,2017,609.7083333333334
Missouri,2014,581.8333333333334
Missouri,2015,593.5
Missouri,2016,607.2083333333334
Missouri,2017,615.75
Montana,2014,564.2916666666666
Montana,2015,565.25
Montana,2016,567.2083333333334
Montana,2017,581.4583333333334
Nebraska,2014,555.75
Nebraska,2015,566.2083333333334
Nebraska,2016,576.6666666666666
Nebraska,2017,586.2083333333334
Nevada,2014,680.1666666666666
Nevada,2015,700.9166666666666
Nevada,2016,728.25
Nevada,2017,762.7916666666666
New Hampshire,2014,843.0
New Hampshire,2015,876.9166666666666
New Hampshire,2016,920.2916666666666
New Hampshire,2017,942.9166666666666
New Jersey,2014,1067.2916666666667
New Jersey,2015,1099.7083333333333
New Jersey,2016,1128.7083333333333
New Jersey,2017,1153.2916666666667
New Mexico,2014,586.1666666666666
New Mexico,2015,587.375
New Mexico,2016,595.4166666666666
New Mexico,2017,609.375
New York,2014,1152.2916666666667
New York,2015,1176.2083333333333
New York,2016,1185.75
New York,2017,1204.4583333333333
North Carolina,2014,651.0833333333334
North Carolina,2015,666.3333333333334
North Carolina,2016,681.7083333333334
North Carolina,2017,706.0833333333334
North Dakota,2014,635.5833333333334
North Dakota,2015,617.25
North Dakota,2016,581.5
North Dakota,2017,584.125
Ohio,2014,563.375
Ohio,2015,575.625
Ohio,2016,590.0
Ohio,2017,606.2916666666666
Oklahoma,2014,550.5416666666666
Oklahoma,2015,558.625
Oklahoma,2016,560.4166666666666
Oklahoma,2017,563.75
Oregon,2014,785.2083333333334
Oregon,2015,843.1666666666666
Oregon,2016,908.0833333333334
Oregon,2017,938.5833333333334
Pennsylvania,2014,715.0416666666666
Pennsylvania,2015,725.8333333333334
Pennsylvania,2016,740.375
Pennsylvania,2017,755.875
Rhode Island,2014,809.625
Rhode Island,2015,848.2083333333334
Rhode Island,2016,872.2083333333334
Rhode Island,2017,901.0833333333334
South Carolina,2014,644.3333333333334
South Carolina,2015,671.125
South Carolina,2016,695.8333333333334
South Carolina,2017,713.1666666666666
South Dakota,2014,525.4583333333334
South Dakota,2015,515.3333333333334
South Dakota,2016,513.75
South Dakota,2017,521.625
