year,total,individual,family,youth,child,yadult,yparent,yparent_u18,yparent_18to24,ypchild,state,population,per_capita,individual_rent,family_rent
2017,1845.0,1354.0,491.0,162.0,15.0,147.0,22.0,0.0,22.0,39.0,Alaska,739795.0,2.493934130400989,878.625,1642.0
2017,3793.0,2985.0,808.0,294.0,36.0,258.0,29.0,6.0,23.0,39.0,Alabama,4874747.0,0.7780916630134856,625.7916666666666,1027.611111111111
2017,2467.0,2068.0,399.0,208.0,17.0,191.0,10.0,0.0,10.0,13.0,Arkansas,3004279.0,0.8211620824830184,544.4166666666666,942.3055555555555
2017,8947.0,6488.0,2459.0,578.0,55.0,523.0,81.0,0.0,81.0,112.0,Arizona,7016270.0,1.2751789768637751,744.4166666666666,1399.6944444444443
2017,134278.0,112756.0,21522.0,15458.0,1649.0,13809.0,890.0,16.0,874.0,1058.0,California,39536653.0,3.396291537374193,1308.875,2402.277777777778
2017,10940.0,7571.0,3369.0,763.0,45.0,718.0,110.0,0.0,110.0,138.0,Colorado,5607154.0,1.9510789252444287,929.75,1754.7222222222222
2017,3388.0,2208.0,1180.0,170.0,13.0,157.0,64.0,0.0,64.0,89.0,Connecticut,3588184.0,0.9442102188739484,983.0833333333334,1671.5833333333333
2017,7473.0,3583.0,3890.0,228.0,5.0,223.0,397.0,0.0,397.0,482.0,Washington DC,,,,
2017,994.0,615.0,379.0,45.0,2.0,43.0,20.0,2.0,18.0,25.0,Delaware,961939.0,1.0333295562400526,899.9583333333334,1496.111111111111
2017,32190.0,22768.0,9422.0,2019.0,421.0,1598.0,328.0,16.0,312.0,483.0,Florida,20984400.0,1.5339966832504146,876.625,1558.138888888889
2017,10174.0,7422.0,2752.0,526.0,28.0,498.0,75.0,0.0,75.0,139.0,Georgia,10429379.0,0.9755134989341168,821.6666666666666,1309.0
2017,7220.0,4535.0,2685.0,319.0,26.0,293.0,71.0,0.0,71.0,68.0,Hawaii,1427538.0,5.0576587103110375,1397.3333333333333,2697.0555555555557
2017,2756.0,1500.0,1256.0,140.0,12.0,128.0,73.0,0.0,73.0,107.0,Iowa,3145711.0,0.8761135399914359,565.5,994.7777777777778
2017,2037.0,1309.0,728.0,113.0,7.0,106.0,17.0,0.0,17.0,24.0,Idaho,1716943.0,1.1864109641380056,589.2083333333334,1113.138888888889
