year,unemployment,state
2007,4.0,AL
2007,6.3,AK
2007,3.9,AZ
2007,5.3,AR
2007,5.4,CA
2007,3.7,CO
2007,4.5,CT
2007,3.4,DE
2007,4.0,FL
2007,4.5,GA
2007,2.8,HI
2007,3.1,ID
2007,5.0,IL
2007,4.6,IN
2007,3.7,IA
2007,4.2,KS
2007,5.4,KY
2007,4.3,LA
2007,4.7,ME
2007,3.5,MD
2007,4.6,MA
2007,7.0,MI
2007,4.6,MN
2007,6.1,MS
2007,5.1,MO
2007,3.6,MT
2007,3.0,NE
2007,4.5,NV
2007,3.5,NH
2007,4.3,NJ
2007,3.8,NM
2007,4.6,NY
2007,4.7,NC
2007,3.1,ND
2007,5.6,OH
2007,4.1,OK
2007,5.2,OR
2007,4.4,PA
2007,5.2,RI
2007,5.7,SC
2007,2.8,SD
2007,4.7,TN
2007,4.3,TX
2007,2.6,UT
2007,4.0,VT
2007,3.0,VA
2007,4.7,WA
2007,4.6,WV
2007,4.9,WI
2007,2.8,WY
2008,5.7,AL
2008,6.7,AK
2008,6.2,AZ
2008,5.5,AR
2008,7.3,CA
2008,4.8,CO
2008,5.7,CT
2008,4.9,DE
2008,6.3,FL
2008,6.2,GA
2008,4.3,HI
2008,5.1,ID
2008,6.3,IL
2008,5.9,IN
2008,4.2,IA
2008,4.6,KS
2008,6.4,KY
2008,4.9,LA
2008,5.5,ME
2008,4.2,MD
2008,5.5,MA
2008,8.0,MI
2008,5.4,MN
2008,6.6,MS
2008,6.1,MO
2008,5.1,MT
2008,3.3,NE
2008,6.7,NV
2008,3.9,NH
2008,5.3,NJ
2008,4.5,NM
2008,5.4,NY
2008,6.1,NC
2008,3.2,ND
2008,6.4,OH
2008,3.7,OK
2008,6.5,OR
2008,5.3,PA
2008,7.8,RI
2008,6.8,SC
2008,3.1,SD
2008,6.6,TN
2008,4.8,TX
2008,3.6,UT
2008,4.7,VT
2008,3.9,VA
2008,5.4,WA
2008,4.3,WV
2008,4.9,WI
2008,3.1,WY
2009,11.0,AL
2009,7.7,AK
2009,9.9,AZ
2009,7.8,AR
2009,11.2,CA
2009,7.3,CO
2009,7.9,CT
2009,8.3,DE
2009,10.4,FL
2009,9.9,GA
2009,7.2,HI
2009,8.8,ID
2009,10.2,IL
2009,10.3,IN
2009,6.4,IA
2009,6.9,KS
2009,10.3,KY
2009,6.8,LA
2009,8.1,ME
2009,7.0,MD
2009,8.1,MA
2009,13.7,MI
2009,7.8,MN
2009,9.5,MS
2009,9.3,MO
2009,6.8,MT
2009,4.6,NE
2009,11.3,NV
2009,6.2,NH
2009,9.1,NJ
2009,7.5,NM
2009,8.3,NY
2009,10.6,NC
2009,4.1,ND
2009,10.3,OH
2009,6.4,OK
2009,11.3,OR
2009,8.0,PA
2009,11.0,RI
2009,11.2,SC
2009,4.9,SD
2009,10.5,TN
2009,7.6,TX
2009,7.3,UT
2009,6.6,VT
2009,6.7,VA
2009,9.2,WA
2009,7.7,WV
2009,8.6,WI
2009,6.3,WY
2010,10.5,AL
2010,7.9,AK
2010,10.4,AZ
2010,8.2,AR
2010,12.2,CA
2010,8.7,CO
2010,9.1,CT
2010,8.4,DE
2010,11.1,FL
2010,10.5,GA
2010,6.9,HI
2010,9.0,ID
2010,10.4,IL
2010,10.4,IN
2010,6.0,IA
2010,7.1,KS
2010,10.2,KY
2010,8.0,LA
2010,8.1,ME
2010,7.7,MD
2010,8.3,MA
2010,12.6,MI
2010,7.4,MN
2010,10.4,MS
2010,9.6,MO
2010,7.3,MT
2010,4.6,NE
2010,13.5,NV
2010,5.8,NH
2010,9.5,NJ
2010,8.1,NM
2010,8.6,NY
2010,10.9,NC
2010,3.8,ND
2010,10.3,OH
2010,6.8,OK
2010,10.6,OR
2010,8.5,PA
2010,11.2,RI
2010,11.2,SC
2010,5.0,SD
2010,9.7,TN
2010,8.1,TX
2010,7.8,UT
2010,6.1,VT
2010,7.1,VA
2010,10.0,WA
2010,8.7,WV
2010,8.7,WI
2010,6.4,WY
2011,9.6,AL
2011,7.6,AK
2011,9.5,AZ
2011,8.3,AR
2011,11.7,CA
2011,8.4,CO
2011,8.8,CT
2011,7.5,DE
2011,10.0,FL
2011,10.2,GA
2011,6.8,HI
2011,8.3,ID
2011,9.7,IL
2011,9.1,IN
2011,5.5,IA
2011,6.5,KS
2011,9.4,KY
2011,7.8,LA
2011,7.9,ME
2011,7.2,MD
2011,7.3,MA
2011,10.4,MI
2011,6.5,MN
2011,10.0,MS
2011,8.5,MO
2011,6.9,MT
2011,4.4,NE
2011,13.0,NV
2011,5.4,NH
2011,9.3,NJ
2011,7.5,NM
2011,8.3,NY
2011,10.3,NC
2011,3.5,ND
2011,8.8,OH
2011,5.9,OK
2011,9.5,OR
2011,7.9,PA
2011,11.0,RI
2011,10.6,SC
2011,4.7,SD
2011,9.0,TN
2011,7.8,TX
2011,6.7,UT
2011,5.5,VT
2011,6.6,VA
2011,9.3,WA
2011,8.1,WV
2011,7.8,WI
2011,5.8,WY
2012,8.0,AL
2012,7.1,AK
2012,8.3,AZ
2012,7.6,AR
2012,10.4,CA
2012,7.9,CO
2012,8.3,CT
2012,7.2,DE
2012,8.5,FL
2012,9.2,GA
2012,6.0,HI
2012,7.2,ID
2012,9.0,IL
2012,8.3,IN
2012,5.0,IA
2012,5.7,KS
2012,8.2,KY
2012,7.1,LA
2012,7.5,ME
2012,7.0,MD
2012,6.7,MA
2012,9.1,MI
2012,5.6,MN
2012,9.0,MS
2012,6.9,MO
2012,6.0,MT
2012,4.0,NE
2012,11.2,NV
2012,5.5,NH
2012,9.3,NJ
2012,7.1,NM
2012,8.5,NY
2012,9.3,NC
2012,3.1,ND
2012,7.4,OH
2012,5.2,OK
2012,8.8,OR
2012,7.8,PA
2012,10.4,RI
2012,9.2,SC
2012,4.3,SD
2012,7.8,TN
2012,6.7,TX
2012,5.4,UT
2012,5.0,VT
2012,6.1,VA
2012,8.1,WA
2012,7.5,WV
2012,7.0,WI
2012,5.3,WY
2013,7.2,AL
2013,7.0,AK
2013,7.7,AZ
2013,7.2,AR
2013,8.9,CA
2013,6.9,CO
2013,7.8,CT
2013,6.7,DE
2013,7.2,FL
2013,8.2,GA
2013,4.9,HI
2013,6.1,ID
2013,9.0,IL
2013,7.7,IN
2013,4.7,IA
2013,5.3,KS
2013,8.0,KY
2013,6.7,LA
2013,6.6,ME
2013,6.6,MD
2013,6.7,MA
2013,8.8,MI
2013,5.0,MN
2013,8.5,MS
2013,6.7,MO
2013,5.4,MT
2013,3.8,NE
2013,9.6,NV
2013,5.1,NH
2013,8.2,NJ
2013,6.9,NM
2013,7.7,NY
2013,8.0,NC
2013,2.9,ND
2013,7.5,OH
2013,5.3,OK
2013,7.9,OR
2013,7.4,PA
2013,9.3,RI
2013,7.6,SC
2013,3.8,SD
2013,7.8,TN
2013,6.3,TX
2013,4.6,UT
2013,4.4,VT
2013,5.7,VA
2013,7.0,WA
2013,6.8,WV
2013,6.7,WI
2013,4.7,WY
2014,6.8,AL
2014,6.9,AK
2014,6.8,AZ
2014,6.0,AR
2014,7.5,CA
2014,5.0,CO
2014,6.6,CT
2014,5.7,DE
2014,6.3,FL
2014,7.1,GA
2014,4.4,HI
2014,4.9,ID
2014,7.1,IL
2014,6.0,IN
2014,4.2,IA
2014,4.5,KS
2014,6.5,KY
2014,6.4,LA
2014,5.6,ME
2014,5.8,MD
2014,5.7,MA
2014,7.2,MI
2014,4.2,MN
2014,7.5,MS
2014,6.1,MO
2014,4.7,MT
2014,3.3,NE
2014,7.9,NV
2014,4.3,NH
2014,6.8,NJ
2014,6.7,NM
2014,6.3,NY
2014,6.3,NC
2014,2.7,ND
2014,5.8,OH
2014,4.5,OK
2014,6.8,OR
2014,5.9,PA
2014,7.7,RI
2014,6.5,SC
2014,3.4,SD
2014,6.6,TN
2014,5.1,TX
2014,3.8,UT
2014,4.0,VT
2014,5.2,VA
2014,6.1,WA
2014,6.6,WV
2014,5.4,WI
2014,4.1,WY
2015,6.1,AL
2015,6.5,AK
2015,6.1,AZ
2015,5.0,AR
2015,6.2,CA
2015,3.9,CO
2015,5.7,CT
2015,4.9,DE
2015,5.5,FL
2015,6.0,GA
2015,3.6,HI
2015,4.2,ID
2015,6.0,IL
2015,4.8,IN
2015,3.8,IA
2015,4.2,KS
2015,5.3,KY
2015,6.3,LA
2015,4.4,ME
2015,5.1,MD
2015,4.8,MA
2015,5.4,MI
2015,3.7,MN
2015,6.4,MS
2015,5.0,MO
2015,4.2,MT
2015,3.0,NE
2015,6.8,NV
