State,Number of CoCs,Overall Homeless ,Sheltered ES Homeless ,Sheltered TH Homeless ,Sheltered SH Homeless ,Sheltered Total Homeless ,Unsheltered Homeless ,Homeless Individuals ,Sheltered ES Homeless Individuals ,Sheltered TH Homeless Individuals ,Sheltered SH Homeless Individuals ,Sheltered Total Homeless Individuals ,Unsheltered Homeless Individuals ,Homeless People in Families ,Sheltered ES Homeless People in Families ,Sheltered TH Homeless People in Families ,Sheltered Total Homeless People in Families ,Unsheltered Homeless People in Families ,Homeless Family Households ,Sheltered ES Homeless Family Households ,Sheltered TH Homeless Family Households ,Sheltered Total Homeless Family Households ,Unsheltered Homeless Family Households ,Chronically Homeless ,Sheltered ES Chronically Homeless ,Sheltered SH Chronically Homeless ,Sheltered Total Chronically Homeless ,Unsheltered Chronically Homeless ,Chronically Homeless Individuals ,Sheltered ES Chronically Homeless Individuals ,Sheltered SH Chronically Homeless Individuals ,Sheltered Total Chronically Homeless Individuals ,Unsheltered Chronically Homeless Individuals ,Chronically Homeless People in Families ,Sheltered ES Chronically Homeless People in Families ,Sheltered Total Chronically Homeless People in Families ,Unsheltered Chronically Homeless People in Families ,Homeless Veterans ,Sheltered ES Homeless Veterans ,Sheltered TH Homeless Veterans ,Sheltered SH Homeless Veterans ,Sheltered Total Homeless Veterans ,Unsheltered Homeless Veterans ,Homeless Unaccompanied Youth (Under 25) ,Sheltered ES Homeless Unaccompanied Youth (Under 25) ,Sheltered TH Homeless Unaccompanied Youth (Under 25) ,Sheltered SH Homeless Unaccompanied Youth (Under 25) ,Sheltered Total Homeless Unaccompanied Youth (Under 25) ,Unsheltered Homeless Unaccompanied Youth (Under 25) ,Homeless Unaccompanied Youth Under 18 ,Sheltered ES Homeless Unaccompanied Youth Under 18 ,Sheltered TH Homeless Unaccompanied Youth Under 18 ,Sheltered SH Homeless Unaccompanied Youth Under 18 ,Sheltered Total Homeless Unaccompanied Youth Under 18 ,Unsheltered Homeless Unaccompanied Youth Under 18 ,Homeless Unaccompanied Youth Age 18-24 ,Sheltered ES Homeless Unaccompanied Youth Age 18-24 ,Sheltered TH Homeless Unaccompanied Youth Age 18-24 ,Sheltered SH Homeless Unaccompanied Youth Age 18-24 ,Sheltered Total Homeless Unaccompanied Youth Age 18-24 ,Unsheltered Homeless Unaccompanied Youth Age 18-24 ,Homeless Parenting Youth (Under 25) ,Sheltered ES Homeless Parenting Youth (Under 25) ,Sheltered TH Homeless Parenting Youth (Under 25) ,Sheltered Total Homeless Parenting Youth (Under 25) ,Unsheltered Homeless Parenting Youth (Under 25) ,Homeless Parenting Youth Under 18 ,Sheltered ES Homeless Parenting Youth Under 18 ,Sheltered TH Homeless Parenting Youth Under 18 ,Sheltered Total Homeless Parenting Youth Under 18 ,Unsheltered Homeless Parenting Youth Under 18 ,Homeless Parenting Youth Age 18-24 ,Sheltered ES Homeless Parenting Youth Age 18-24 ,Sheltered TH Homeless Parenting Youth Age 18-24 ,Sheltered Total Homeless Parenting Youth Age 18-24 ,Unsheltered Homeless Parenting Youth Age 18-24 ,Homeless Children of Parenting Youth ,Sheltered ES Homeless Children of Parenting Youth ,Sheltered TH Homeless Children of Parenting Youth ,Sheltered Total Homeless Children of Parenting Youth ,Unsheltered Homeless Children of Parenting Youth 
AK,2,"1,642",898,489,0,"1,387",255,"1,062",618,273,0,891,171,580,280,216,496,84,190,95,70,165,25,278,221,57,203,152,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,8,"5,452","1,452","2,344",0,"3,796","1,656","4,184","1,210","1,613",0,"2,823","1,361","1,268",242,731,973,295,466,96,251,347,119,993,483,510,974,745,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,9,"3,836","1,251","1,034",0,"2,285","1,551","2,987",985,781,0,"1,766","1,221",849,266,253,519,330,324,97,87,184,140,852,409,443,287,255,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,3,"14,646","3,934","4,684",0,"8,618","6,028","10,020","2,412","2,011",0,"4,423","5,597","4,626","1,522","2,673","4,195",431,"1,459",463,828,"1,291",168,"2,804",650,"2,154",869,858,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,42,"138,986","23,920","24,591",0,"48,511","90,475","110,952","17,096","13,401",0,"30,497","80,455","28,034","6,824","11,190","18,014","10,020","8,733","2,265","3,530","5,795","2,938","40,341","5,950","34,391","16,701","5,827","10,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,3,"14,225","3,630","3,341",0,"6,971","7,254","6,844","2,158",896,0,"3,054","3,790","7,381","1,472","2,445","3,917","3,464","2,704",584,848,"1,432","1,272","2,050",404,"1,646","1,541",931,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,12,"4,482","2,262","1,409",0,"3,671",811,"3,173","1,631",825,0,"2,456",717,"1,309",631,584,"1,215",94,442,211,193,404,38,"1,023",596,427,436,330,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,1,"5,320","3,248","1,732",0,"4,980",340,"3,717","2,455",922,0,"3,377",340,"1,603",793,810,"1,603",0,507,246,261,507,0,"1,760","1,439",321,524,487,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,1,"1,061",439,415,0,854,207,716,283,247,0,530,186,345,156,168,324,21,119,56,55,111,8,150,76,74,204,142,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,27,"48,069","8,988","11,541",0,"20,529","27,540","33,040","5,367","7,405",0,"12,772","20,268","15,029","3,621","4,136","7,757","7,272","5,618","1,412","1,371","2,783","2,835","7,463","1,842","5,621","5,841","2,658","3,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,7,"19,639","4,267","4,074",0,"8,341","11,298","12,521","3,351","2,392",0,"5,743","6,778","7,118",916,"1,682","2,598","4,520","2,177",352,513,865,"1,312","2,484","1,108","1,376","2,243","1,929",314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
