GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Alabama,4822023,3333371,7259,1276164,5768,24136,2598,58679,2991,1358,671,52468,6702,75847,5611,6136,1776,69711,5542
Alaska,731449,486551,2351,26207,1482,102582,3525,42790,2209,8231,982,6796,1596,58292,4084,2478,928,55814,4094
Arizona,6553255,5164199,17980,286343,6487,289883,5051,190390,4062,12037,1880,420902,17783,189501,9832,42041,5088,147460,8408
Arkansas,2949131,2307951,5816,462182,3398,17485,2017,39448,1924,5221,406,58865,5169,57979,4583,4521,1422,53458,4225
California,38041430,23628545,58000,2263723,17267,285342,11914,5120354,18065,146712,4467,4912894,55894,1683860,31751,393132,13434,1290728,28801
Colorado,5187582,4376673,16745,218292,5494,47949,4392,147082,4322,5308,1301,219565,13256,172713,8702,39720,4516,132993,7339
Connecticut,3590347,2804972,10799,366350,6418,11627,2463,147830,2290,2261,1568,163423,10914,93884,5950,21036,3723,72848,5801
Delaware,917092,639294,3995,196950,2945,2868,621,30632,1597,144,112,23251,4014,23953,3638,3025,1398,20928,3553
District of Columbia,632323,250657,4014,313224,2333,2258,864,21858,1613,54,90,28401,4268,15871,2753,2654,1205,13217,2357
Florida,19317568,14742516,22798,3105799,17159,51471,4495,488052,7850,11609,3423,459361,23271,458760,15562,88853,7792,369907,13672
Georgia,9919945,5992846,16084,3063367,11970,24166,4358,337015,6051,2882,896,297813,14511,201856,12310,26207,4169,175649,12350
Hawaii,1392313,347252,2786,25613,1698,3153,797,531663,10568,145408,5729,15499,2568,323725,12485,11152,2637,312573,12565
Idaho,1595728,1458371,6843,8759,1444,20764,1963,20613,2789,1686,614,46011,6380,39524,3855,3104,1246,36420,3761
Illinois,12875255,9358637,24157,1853436,9027,26814,3838,617924,6059,4231,1586,731378,24796,282835,11522,57393,5553,225442,9948
Indiana,6537334,5513003,9610,598171,6855,16295,1918,107736,3733,2824,1681,157490,9515,141815,7369,18225,2671,123590,7302
Iowa,3074186,2817947,5797,91660,3711,8153,1445,56519,2205,2260,754,37670,4870,59977,4965,5913,1645,54064,4518
Kansas,2885905,2468884,7141,167414,4128,26087,2761,71821,2664,2263,1453,57943,7162,91493,6249,10045,2175,81448,5267
Kentucky,4380415,3844617,5968,344584,6354,8141,1423,55397,3007,2149,1098,38316,5055,87211,6226,7438,1693,79773,5989
Louisiana,4601893,2891506,6690,1483239,6017,25551,2421,72216,2464,2209,1073,48697,6896,78475,6207,6831,1587,71644,6082
Maine,1329192,1264328,1246,13614,1648,8066,1074,14414,1392,156,139,2509,768,26105,2308,1208,548,24897,2383
Maryland,5884563,3417690,12404,1720936,7404,17171,2528,339527,4265,2637,1113,202979,13193,183623,9129,22876,3429,160747,8668
Massachusetts,6646144,5323896,12317,473527,7935,13230,2280,381262,3962,900,612,269542,11807,183787,8728,35327,4607,148460,7603
Michigan,9883360,7840426,8758,1388360,7531,56356,3027,248093,4128,1829,680,93952,7702,254344,9914,25717,2533,228627,9352
Minnesota,5379139,4596694,6789,287165,5702,56230,2170,226902,3537,2336,1001,73363,6581,136449,7404,10918,2010,125531,7020
Mississippi,2984926,1768736,4408,1123620,5037,12591,1367,23923,2452,399,306,22805,4018,32852,3494,1765,755,31087,3379
Missouri,6021988,4981999,6489,691631,5818,28000,2718,102180,3291,4480,1370,70872,6403,142826,6904,14350,3135,128476,6279
Montana,1005141,896467,1819,3605,1071,65148,2263,6442,1141,1183,786,6526,1447,25770,2632,1388,741,24382,2388
Nebraska,1855525,1634952,5242,85483,3465,15818,1796,36670,1809,1227,1206,42754,4948,38621,3717,3539,986,35082,3717
Nevada,2758931,1922203,12400,227696,4251,31415,2513,207736,5128,18441,1715,236992,12600,114448,7240,19284,3133,95164,6780
New Hampshire,1320718,1241905,2511,16515,2631,2321,756,29743,1915,191,193,5827,1656,24216,2909,2382,1157,21834,2590
New Jersey,8864590,6111675,20981,1207688,10732,21574,3456,775176,5882,2606,1623,523067,19197,222804,11528,56325,5116,166479,10925
New Mexico,2085538,1499853,13369,42843,2442,192903,3241,27714,1774,1431,707,255095,13686,65699,5452,24815,3388,40884,4738
New York,19570261,12767396,31188,3046610,15504,73392,5772,1498346,8087,7456,2870,1644049,29249,533012,16272,156134,9565,376878,12320
North Carolina,9752073,6817441,17870,2107908,10420,113280,3635,227727,4278,5568,2118,255939,15642,224210,10676,30066,4578,194144,9174
North Dakota,699628,626192,1217,10202,1652,37301,1767,6737,846,1190,1072,3916,1115,14090,2192,1478,809,12612,2120
Ohio,11544225,9547022,7437,1413110,9120,21692,2168,200878,4341,4101,1494,91448,6750,265974,10063,23696,2626,242278,9659
Oklahoma,3814820,2805612,8499,272820,4079,278028,6128,70527,2386,3925,504,89408,6788,294500,8492,12596,1758,281904,8404
Oregon,3899353,3321591,11013,69719,3737,47066,4202,149455,4172,16415,2030,138756,10034,156351,7736,16230,3513,140121,6741
Pennsylvania,12763536,10456819,12163,1400003,11914,21310,2890,368996,5227,7135,3790,245676,11949,263597,11268,37188,4268,226409,11092
Rhode Island,1050292,857897,6212,67840,4989,4809,1277,33814,1441,201,203,56524,5934,29207,2898,6041,1373,23166,2719
South Carolina,4723723,3165844,8016,1307087,6873,15317,1679,59956,2302,1738,950,79046,7125,94735,6321,11070,2455,83665,6574
South Dakota,833354,711562,2706,13055,1334,73305,2504,9537,1227,460,404,7755,1940,17680,2662,1669,1236,16011,2269
Tennessee,6456243,5036564,9580,1091759,6706,17594,3153,96086,3063,2618,781,93258,9911,118364,6767,11944,2285,106420,6233
Texas,26059203,19546170,48902,3099425,15541,126041,8463,1052002,8660,21938,2767,1599204,48872,614423,18874,144885,9980,469538,14766
Utah,2855287,2514908,10080,31797,3012,31448,2746,62575,2843,25765,2742,119195,9169,69599,5864,10700,2045,58899,5337
Vermont,626011,595252,736,6411,776,2165,670,8234,770,0,143,1349,566,12600,1181,746,298,11854,1151
Virginia,8185867,5661067,12880,1576258,9466,23022,3007,469669,6255,5008,1689,187150,12235,263693,11484,33365,4998,230328,10514
Washington,6897012,5402912,12547,248631,6701,95015,4437,509565,6656,41156,2910,255271,11767,344462,11290,35314,4689,309148,11227
West Virginia,1855413,1738148,2503,61306,3320,2636,836,12173,1232,717,669,4404,1681,36029,3474,1399,629,34630,3359
Wisconsin,5726398,4967566,9048,359317,4802,52161,2611,135815,3419,1066,525,96143,8869,114330,6266,15255,2553,99075,5923
Wyoming,576412,523798,2887,5720,1395,12375,1899,5637,1103,78,85,11161,2503,17643,2317,1714,1022,15929,2135
