Chronically Homeless,Chronically Homeless Individuals,Chronically Homeless People in Families,Homeless Children of Parenting Youth,Homeless Family Households,Homeless Individuals,Homeless Parenting Youth (Under 25),Homeless Parenting Youth Age 18-24,Homeless Parenting Youth Under 18,Homeless People in Families,Homeless Unaccompanied Youth (Under 25),Homeless Unaccompanied Youth Age 18-24,Homeless Unaccompanied Youth Under 18,Homeless Veterans,Number of CoCs,Overall Homeless,Sheltered ES Chronically Homeless,Sheltered ES Chronically Homeless Individuals,Sheltered ES Chronically Homeless People in Families,Sheltered ES Homeless,Sheltered ES Homeless Children of Parenting Youth,Sheltered ES Homeless Family Households,Sheltered ES Homeless Individuals,Sheltered ES Homeless Parenting Youth (Under 25),Sheltered ES Homeless Parenting Youth Age 18-24,Sheltered ES Homeless Parenting Youth Under 18,Sheltered ES Homeless People in Families,Sheltered ES Homeless Unaccompanied Youth (Under 25),Sheltered ES Homeless Unaccompanied Youth Age 18-24,Sheltered ES Homeless Unaccompanied Youth Under 18,Sheltered ES Homeless Veterans,Sheltered SH Chronically Homeless,Sheltered SH Chronically Homeless Individuals,Sheltered SH Homeless,Sheltered SH Homeless Individuals,Sheltered SH Homeless Unaccompanied Youth (Under 25),Sheltered SH Homeless Unaccompanied Youth Age 18-24,Sheltered SH Homeless Unaccompanied Youth Under 18,Sheltered SH Homeless Veterans,Sheltered TH Homeless,Sheltered TH Homeless Children of Parenting Youth,Sheltered TH Homeless Family Households,Sheltered TH Homeless Individuals,Sheltered TH Homeless Parenting Youth (Under 25),Sheltered TH Homeless Parenting Youth Age 18-24,Sheltered TH Homeless Parenting Youth Under 18,Sheltered TH Homeless People in Families,Sheltered TH Homeless Unaccompanied Youth (Under 25),Sheltered TH Homeless Unaccompanied Youth Age 18-24,Sheltered TH Homeless Unaccompanied Youth Under 18,Sheltered TH Homeless Veterans,Sheltered Total Chronically Homeless,Sheltered Total Chronically Homeless Individuals,Sheltered Total Chronically Homeless People in Families,Sheltered Total Homeless,Sheltered Total Homeless Children of Parenting Youth,Sheltered Total Homeless Family Households,Sheltered Total Homeless Individuals,Sheltered Total Homeless Parenting Youth (Under 25),Sheltered Total Homeless Parenting Youth Age 18-24,Sheltered Total Homeless Parenting Youth Under 18,Sheltered Total Homeless People in Families,Sheltered Total Homeless Unaccompanied Youth (Under 25),Sheltered Total Homeless Unaccompanied Youth Age 18-24,Sheltered Total Homeless Unaccompanied Youth Under 18,Sheltered Total Homeless Veterans,State,Unsheltered Chronically Homeless,Unsheltered Chronically Homeless Individuals,Unsheltered Chronically Homeless People in Families,Unsheltered Homeless,Unsheltered Homeless Children of Parenting Youth,Unsheltered Homeless Family Households,Unsheltered Homeless Individuals,Unsheltered Homeless Parenting Youth (Under 25),Unsheltered Homeless Parenting Youth Age 18-24,Unsheltered Homeless Parenting Youth Under 18,Unsheltered Homeless People in Families,Unsheltered Homeless Unaccompanied Youth (Under 25),Unsheltered Homeless Unaccompanied Youth Age 18-24,Unsheltered Homeless Unaccompanied Youth Under 18,Unsheltered Homeless Veterans,year
357.0,323,34.0,26.0,193,1434,26.0,25.0,1.0,582,163.0,155.0,8.0,132,2,2016,275.0,243.0,32.0,1248,14.0,100,953,14.0,14.0,0.0,295,86.0,78.0,8.0,87.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,459,10.0,75,220,10.0,9.0,1.0,239,64.0,64.0,0.0,23.0,275.0,243,32.0,1707,24.0,175,1173,24.0,23.0,1.0,534,150.0,142.0,8.0,110,AK,82.0,80,2.0,309,2.0,18,261,2.0,2.0,0.0,48,13.0,13.0,0.0,22,2018
540.0,472,68.0,36.0,280,2570,27.0,27.0,0.0,864,158.0,114.0,44.0,339,8,3434,328.0,264.0,64.0,1519,16.0,153,1057,11.0,11.0,0.0,462,67.0,50.0,17.0,170.0,13.0,13.0,40,40,8.0,0.0,8.0,0.0,865,13.0,90,596,8.0,8.0,0.0,269,38.0,20.0,18.0,97.0,341.0,277,64.0,2424,29.0,243,1693,19.0,19.0,0.0,731,113.0,70.0,43.0,267,AL,199.0,195,4.0,1010,7.0,37,877,8.0,8.0,0.0,133,45.0,44.0,1.0,72,2018
466.0,453,13.0,11.0,147,2280,8.0,8.0,0.0,432,240.0,197.0,43.0,251,7,2712,149.0,149.0,0.0,933,7.0,76,708,5.0,5.0,0.0,225,51.0,38.0,13.0,81.0,4.0,4.0,6,6,0.0,0.0,0.0,0.0,516,2.0,51,367,2.0,2.0,0.0,149,71.0,44.0,27.0,69.0,153.0,153,0.0,1455,9.0,127,1081,7.0,7.0,0.0,374,122.0,82.0,40.0,150,AR,313.0,300,13.0,1257,2.0,20,1199,1.0,1.0,0.0,58,118.0,115.0,3.0,101,2018
1774.0,1740,34.0,81.0,792,7259,64.0,63.0,1.0,2606,638.0,590.0,48.0,893,3,9865,576.0,551.0,25.0,3615,28.0,390,2327,19.0,19.0,0.0,1288,216.0,187.0,29.0,217.0,13.0,13.0,40,40,0.0,0.0,0.0,28.0,2144,45.0,355,987,36.0,35.0,1.0,1157,181.0,162.0,19.0,295.0,589.0,564,25.0,5799,73.0,745,3354,55.0,54.0,1.0,2445,397.0,349.0,48.0,540,AZ,1185.0,1176,9.0,4066,8.0,47,3905,9.0,9.0,0.0,161,241.0,241.0,0.0,353,2018
34332.0,32668,1664.0,1215.0,6702,109008,1082.0,1077.0,5.0,20964,12396.0,10970.0,1426.0,10836,43,129972,5549.0,4756.0,793.0,27475,631.0,3464,16507,570.0,567.0,3.0,10968,1084.0,926.0,158.0,1486.0,101.0,101.0,217,217,1.0,1.0,0.0,136.0,12737,464.0,1908,6911,389.0,389.0,0.0,5826,1391.0,1343.0,48.0,2000.0,5650.0,4857,793.0,40429,1095.0,5372,23635,959.0,956.0,3.0,16794,2476.0,2270.0,206.0,3622,CA,28682.0,27811,871.0,89543,120.0,1330,85373,123.0,121.0,2.0,4170,9920.0,8700.0,1220.0,7214,2018
2738.0,2571,167.0,152.0,990,7607,135.0,135.0,0.0,3250,593.0,571.0,22.0,1073,3,10857,1138.0,1077.0,61.0,4158,30.0,258,3317,32.0,32.0,0.0,841,217.0,211.0,6.0,468.0,22.0,22.0,22,22,0.0,0.0,0.0,2.0,2348,86.0,431,963,67.0,67.0,0.0,1385,57.0,56.0,1.0,187.0,1160.0,1099,61.0,6528,116.0,689,4302,99.0,99.0,0.0,2226,274.0,267.0,7.0,657,CO,1578.0,1472,106.0,4329,36.0,301,3305,36.0,36.0,0.0,1024,319.0,304.0,15.0,416,2018
341.0,298,43.0,103.0,553,2280,73.0,73.0,0.0,1696,187.0,180.0,7.0,190,2,3976,238.0,195.0,43.0,2879,49.0,464,1451,33.0,33.0,0.0,1428,94.0,89.0,5.0,38.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,516,54.0,89,248,40.0,40.0,0.0,268,24.0,24.0,0.0,139.0,238.0,195,43.0,3395,103.0,553,1699,73.0,73.0,0.0,1696,118.0,113.0,5.0,177,CT,103.0,103,0.0,581,0.0,0,581,0.0,0.0,0.0,0,69.0,67.0,2.0,13,2018
1781.0,1586,195.0,401.0,924,3770,232.0,232.0,0.0,3134,318.0,309.0,9.0,306,1,6904,1481.0,1286.0,195.0,5095,265.0,744,2472,143.0,143.0,0.0,2623,135.0,130.0,5.0,119.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1209,136.0,180,698,89.0,89.0,0.0,511,149.0,146.0,3.0,127.0,1481.0,1286,195.0,6304,401.0,924,3170,232.0,232.0,0.0,3134,284.0,276.0,8.0,246,DC,300.0,300,0.0,600,0.0,0,600,0.0,0.0,0.0,0,34.0,33.0,1.0,60,2018
189.0,162,27.0,15.0,125,708,14.0,13.0,1.0,374,53.0,52.0,1.0,70,1,1082,170.0,143.0,27.0,702,9.0,83,460,9.0,9.0,0.0,242,26.0,26.0,0.0,46.0,0.0,0.0,5,5,0.0,0.0,0.0,4.0,282,6.0,42,150,5.0,4.0,1.0,132,19.0,18.0,1.0,17.0,170.0,143,27.0,989,15.0,125,615,14.0,13.0,1.0,374,45.0,44.0,1.0,67,DE,19.0,19,0.0,93,0.0,0,93,0.0,0.0,0.0,0,8.0,8.0,0.0,3,2018
5302.0,4543,759.0,448.0,2757,21443,301.0,297.0,4.0,9587,1892.0,1451.0,441.0,2543,27,31030,1404.0,1193.0,211.0,12089,268.0,1501,7031,177.0,176.0,1.0,5058,628.0,397.0,231.0,591.0,44.0,44.0,129,129,3.0,3.0,0.0,32.0,5419,118.0,569,3526,73.0,72.0,1.0,1893,389.0,301.0,88.0,959.0,1448.0,1237,211.0,17637,386.0,2070,10686,250.0,248.0,2.0,6951,1020.0,701.0,319.0,1582,FL,3854.0,3306,548.0,13393,62.0,687,10757,51.0,49.0,2.0,2636,872.0,750.0,122.0,961,2018
1080.0,992,88.0,197.0,812,6943,123.0,123.0,0.0,2556,494.0,465.0,29.0,705,9,9499,324.0,238.0,86.0,3434,114.0,460,2002,69.0,69.0,0.0,1432,180.0,157.0,23.0,194.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2466,65.0,265,1555,41.0,41.0,0.0,911,117.0,114.0,3.0,235.0,324.0,238,86.0,5900,179.0,725,3557,110.0,110.0,0.0,2343,297.0,271.0,26.0,429,GA,756.0,754,2.0,3599,18.0,87,3386,13.0,13.0,0.0,213,197.0,194.0,3.0,276,2018
66.0,12,54.0,3.0,120,209,6.0,6.0,0.0,645,7.0,5.0,2.0,14,1,854,0.0,0.0,0.0,124,1.0,25,19,2.0,2.0,0.0,105,2.0,0.0,2.0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3,0.0,0,3,0.0,0.0,0.0,0,3.0,3.0,0.0,0.0,0.0,0,0.0,127,1.0,25,22,2.0,2.0,0.0,105,5.0,3.0,2.0,4,GU,66.0,12,54.0,727,2.0,95,187,4.0,4.0,0.0,540,2.0,2.0,0.0,10,2018
1714.0,1529,185.0,76.0,623,4131,67.0,67.0,0.0,2399,189.0,178.0,11.0,532,2,6530,258.0,202.0,56.0,1528,20.0,195,832,22.0,22.0,0.0,696,30.0,29.0,1.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1527,27.0,280,383,23.0,23.0,0.0,1144,20.0,20.0,0.0,113.0,258.0,202,56.0,3055,47.0,475,1215,45.0,45.0,0.0,1840,50.0,49.0,1.0,240,HI,1456.0,1327,129.0,3475,29.0,148,2916,22.0,22.0,0.0,559,139.0,129.0,10.0,292,2018
270.0,215,55.0,85.0,325,1711,60.0,59.0,1.0,1038,209.0,197.0,12.0,196,3,2749,204.0,149.0,55.0,1481,30.0,141,1035,21.0,20.0,1.0,446,135.0,131.0,4.0,86.0,2.0,2.0,23,23,0.0,0.0,0.0,23.0,1004,52.0,179,433,38.0,38.0,0.0,571,52.0,45.0,7.0,68.0,206.0,151,55.0,2508,82.0,320,1491,59.0,58.0,1.0,1017,187.0,176.0,11.0,177,IA,64.0,64,0.0,241,3.0,5,220,1.0,1.0,0.0,21,22.0,21.0,1.0,19,2018
324.0,293,31.0,22.0,209,1297,21.0,20.0,1.0,715,115.0,104.0,11.0,215,2,2012,166.0,138.0,28.0,954,15.0,94,647,12.0,12.0,0.0,307,52.0,46.0,6.0,74.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,335,1.0,64,125,1.0,1.0,0.0,210,3.0,3.0,0.0,72.0,166.0,138,28.0,1289,16.0,158,772,13.0,13.0,0.0,517,55.0,49.0,6.0,146,ID,158.0,155,3.0,723,6.0,51,525,8.0,7.0,1.0,198,60.0,55.0,5.0,69,2018
1625.0,1470,155.0,375.0,1223,6752,264.0,261.0,3.0,3891,684.0,636.0,48.0,804,20,10643,864.0,721.0,143.0,6247,175.0,743,3746,119.0,119.0,0.0,2501,392.0,353.0,39.0,341.0,57.0,57.0,73,73,6.0,6.0,0.0,26.0,2381,196.0,460,1057,140.0,137.0,3.0,1324,211.0,202.0,9.0,207.0,921.0,778,143.0,8701,371.0,1203,4876,259.0,256.0,3.0,3825,609.0,561.0,48.0,574,IL,704.0,692,12.0,1942,4.0,20,1876,5.0,5.0,0.0,66,75.0,75.0,0.0,230,2018
449.0,428,21.0,103.0,481,3776,68.0,67.0,1.0,1482,268.0,247.0,21.0,539,2,5258,354.0,333.0,21.0,3370,70.0,325,2376,49.0,49.0,0.0,994,166.0,149.0,17.0,214.0,48.0,48.0,91,91,0.0,0.0,0.0,25.0,1218,33.0,153,738,19.0,18.0,1.0,480,57.0,54.0,3.0,252.0,402.0,381,21.0,4679,103.0,478,3205,68.0,67.0,1.0,1474,223.0,203.0,20.0,491,IN,47.0,47,0.0,579,0.0,3,571,0.0,0.0,0.0,8,45.0,44.0,1.0,48,2018
300.0,278,22.0,40.0,217,1443,24.0,24.0,0.0,773,133.0,125.0,8.0,195,5,2216,188.0,166.0,22.0,1300,23.0,122,880,15.0,15.0,0.0,420,86.0,83.0,3.0,141.0,3.0,3.0,4,4,0.0,0.0,0.0,0.0,555,17.0,93,213,9.0,9.0,0.0,342,27.0,22.0,5.0,26.0,191.0,169,22.0,1859,40.0,215,1097,24.0,24.0,0.0,762,113.0,105.0,8.0,167,KS,109.0,109,0.0,357,0.0,2,346,0.0,0.0,0.0,11,20.0,20.0,0.0,28,2018
