State,Year,Number of CoCs,Total Homeless,Sheltered Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Homeless People in Families,Unsheltered Homeless People in Families,Chronically Homeless,Sheltered Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Homeless Veterans,Unsheltered Homeless Veterans,Homeless Unaccompanied Youth (Under 25),Sheltered Homeless Unaccompanied Youth (Under 25),Unsheltered Homeless Unaccompanied Youth (Under 25),Homeless Unaccompanied Children (Under 18),Sheltered Homeless Unaccompanied Children (Under 18),Unsheltered Homeless Unaccompanied Children (Under 18),Homeless Unaccompanied Young Adults (Age 18-24),Sheltered Homeless Unaccompanied Young Adults (Age 18-24),Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),Parenting Youth (Under 25),Sheltered Parenting Youth (Under 25),Unsheltered Parenting Youth (Under 25),Parenting Youth Under 18,Sheltered Parenting Youth Under 18,Unsheltered Parenting Youth Under 18,Parenting Youth Age 18-24,Sheltered Parenting Youth Age 18-24,Unsheltered Parenting Youth Age 18-24,Children of Parenting Youth,Sheltered Children of Parenting Youth,Unsheltered Children of Parenting Youth
AK,2017,2,"1,845","1,551",294,"1,354","1,060",294,491,491,0,257,158,99,216,117,99,41,41,0,124,95,29,162,142,20,15,15,0,147,127,20,22,22,0,0,0,0,22,22,0,39,39,0
AL,2017,8,"3,793","2,656","1,137","2,985","1,950","1,035",808,706,102,363,171,192,344,152,192,19,19,0,269,202,67,294,182,112,36,34,2,258,148,110,29,26,3,6,6,0,23,20,3,39,35,4
AR,2017,6,"2,467","1,273","1,194","2,068",937,"1,131",399,336,63,473,147,326,450,138,312,23,9,14,239,130,109,208,87,121,17,15,2,191,72,119,10,10,0,0,0,0,10,10,0,13,13,0
AZ,2017,3,"8,947","5,781","3,166","6,488","3,423","3,065","2,459","2,358",101,"1,552",546,"1,006","1,463",492,971,89,54,35,970,641,329,578,345,233,55,45,10,523,300,223,81,81,0,0,0,0,81,81,0,112,112,0
CA,2017,43,"134,278","42,636","91,642","112,756","25,022","87,734","21,522","17,614","3,908","37,360","5,235","32,125","35,798","4,430","31,368","1,562",805,757,"11,472","3,815","7,657","15,458","2,709","12,749","1,649",198,"1,451","13,809","2,511","11,298",890,656,234,16,11,5,874,645,229,"1,058",782,276
CO,2017,3,"10,940","7,081","3,859","7,571","4,719","2,852","3,369","2,362","1,007","2,264",977,"1,287","2,126",914,"1,212",138,63,75,"1,078",743,335,763,428,335,45,23,22,718,405,313,110,74,36,0,0,0,110,74,36,138,99,39
CT,2017,2,"3,388","2,972",416,"2,208","1,796",412,"1,180","1,176",4,420,273,147,387,240,147,33,33,0,191,177,14,170,106,64,13,11,2,157,95,62,64,64,0,0,0,0,64,64,0,89,89,0
DC,2017,1,"7,473","6,576",897,"3,583","2,686",897,"3,890","3,890",0,"1,881","1,343",538,"1,470",932,538,411,411,0,285,250,35,228,194,34,5,5,0,223,189,34,397,397,0,0,0,0,397,397,0,482,482,0
DE,2017,1,994,936,58,615,563,52,379,373,6,127,102,25,123,98,25,4,4,0,91,85,6,45,43,2,2,2,0,43,41,2,20,20,0,2,2,0,18,18,0,25,25,0
FL,2017,27,"32,190","17,111","15,079","22,768","10,931","11,837","9,422","6,180","3,242","5,615","1,241","4,374","4,951","1,127","3,824",664,114,550,"2,817","1,821",996,"2,019","1,075",944,421,282,139,"1,598",793,805,328,275,53,16,13,3,312,262,50,483,410,73
GA,2017,9,"10,174","6,651","3,523","7,422","4,102","3,320","2,752","2,549",203,"1,028",462,566,963,405,558,65,57,8,712,466,246,526,328,198,28,24,4,498,304,194,75,62,13,0,0,0,75,62,13,139,121,18
GU,2017,1,852,87,765,215,17,198,637,70,567,64,0,64,20,0,20,44,0,44,24,4,20,1,0,1,0,0,0,1,0,1,7,1,6,0,0,0,7,1,6,14,3,11
HI,2017,2,"7,220","3,420","3,800","4,535","1,258","3,277","2,685","2,162",523,"1,800",207,"1,593","1,588",164,"1,424",212,43,169,615,237,378,319,56,263,26,2,24,293,54,239,71,60,11,0,0,0,71,60,11,68,56,12
IA,2017,3,"2,756","2,652",104,"1,500","1,396",104,"1,256","1,256",0,199,143,56,170,114,56,29,29,0,171,153,18,140,136,4,12,12,0,128,124,4,73,73,0,0,0,0,73,73,0,107,107,0
ID,2017,2,"2,037","1,398",639,"1,309",857,452,728,541,187,436,302,134,391,257,134,45,45,0,228,159,69,113,89,24,7,7,0,106,82,24,17,15,2,0,0,0,17,15,2,24,19,5
IL,2017,20,"10,798","8,541","2,257","6,894","4,759","2,135","3,904","3,782",122,"1,475",717,758,"1,355",644,711,120,73,47,864,575,289,730,592,138,49,46,3,681,546,135,290,276,14,1,1,0,289,275,14,406,389,17
IN,2017,2,"5,438","4,869",569,"3,623","3,082",541,"1,815","1,787",28,537,483,54,486,432,54,51,51,0,615,569,46,294,252,42,30,29,1,264,223,41,70,69,1,0,0,0,70,69,1,93,92,1
KS,2017,5,"2,287","1,942",345,"1,423","1,083",340,864,859,5,341,251,90,252,166,86,89,85,4,217,177,40,103,79,24,6,6,0,97,73,24,33,32,1,0,0,0,33,32,1,60,56,4
